year,team1,team1_score,team2,team2_score
2021,ETSU,47,"Abilene Christian",70
2021,"Florida Col.",84,"South Fla.",94
2021,"Mount St. Mary's",62,"Morgan St.",55
2021,Oakland,49,Xavier,101
2021,"George Washington",71,Navy,78
2021,Radford,62,"Virginia Tech",77
2021,McNeese,55,Nebraska,102
2021,Limestone,55,"James Madison",89
2021,"Prairie View",66,"Little Rock",71
2021,"Keene St.",54,"New Hampshire",93
2021,"Fla. National",65,"Ga. Southern",97
2021,"North Georgia",48,Mercer,79
2021,"North Dakota",67,"Miami (OH)",81
2021,Virginia,89,Towson,54
2021,"N.C. A&T",60,Illinois,122
2021,"App State",81,"South Carolina St.",61
2021,"Illinois St.",67,"Ohio St.",94
2021,Drake,80,"Kansas St.",70
2021,"Old Dominion",67,Maryland,85
2021,Fairfield,56,Providence,97
2021,"Southern Wesleyan",82,"USC Upstate",72
2021,Memphis,73,"Saint Mary's (CA)",56
2021,"Austin Peay",72,Omaha,66
2021,Lander,63,Chattanooga,99
2021,"North Dakota St.",48,Nevada,62
2021,Toledo,59,Bradley,61
2021,"Lamar University",45,Houston,89
2021,Piedmont,64,"The Citadel",89
2021,Alcorn,50,UAB,99
2021,"Bowling Green",82,Michigan,96
2021,"San Francisco",68,"UMass Lowell",76
2021,"N.C. Central",67,Iowa,97
2021,"Oklahoma St.",75,"UT Arlington",68
2021,Evansville,44,Louisville,79
2021,Tusculum,62,Furman,95
2021,UMBC,62,Georgetown,70
2021,UNCW,76,"Western Caro.",98
2021,"Delaware St.",51,"Wake Forest",111
2021,Carver,40,"Kennesaw St.",87
2021,"Western Ky.",93,UNI,87
2021,"Fairleigh Dickinson",66,Quinnipiac,84
2021,"UC Riverside",60,Pacific,66
2021,Ohio,84,"Chicago St.",61
2021,"North Florida",67,"Eastern Ky.",80
2021,"Toccoa Falls",49,Wofford,88
2021,"William Jessup",47,"Fresno St.",87
2021,"Morehead St.",45,Kentucky,81
2021,"Ball St.",73,"Northern Ky.",74
2021,"Western Mich.",62,Butler,66
2021,"Col. of Charleston",60,"North Carolina",79
2021,Liberty,64,Purdue,77
2021,"Eastern Mich.",67,"Michigan St.",83
2021,"Merchant Marine",32,"Army West Point",93
2021,Oakwood,74,"North Ala.",98
2021,"UC Irvine",72,Pepperdine,86
2021,"Mary Hardin-Baylor",59,"Texas St.",98
2021,Flagler,81,FIU,85
