year,team,conference
2022,"A&M-Corpus Christi",Southland
2022,"Abilene Christian",WAC
2022,"Air Force","Mountain West"
2022,Akron,MAC
2022,Alabama,SEC
2022,"Alabama A&M",SWAC
2022,"Alabama St.",SWAC
2022,Alcorn,SWAC
2022,American,Patriot
2022,"App State","Sun Belt"
2022,Arizona,Pac-12
2022,"Arizona St.",Pac-12
2022,"Ark.-Pine Bluff",SWAC
2022,Arkansas,SEC
2022,"Arkansas St.","Sun Belt"
2022,"Army West Point",Patriot
2022,Auburn,SEC
2022,"Austin Peay",OVC
2022,"Ball St.",MAC
2022,Baylor,"Big 12"
2022,Bellarmine,ASUN
2022,Belmont,OVC
2022,Bethune-Cookman,SWAC
2022,Binghamton,"America East"
2022,"Boise St.","Mountain West"
2022,"Boston College",ACC
2022,"Boston U.",Patriot
2022,"Bowling Green",MAC
2022,Bradley,MVC
2022,Brown,"Ivy League"
2022,Bryant,NEC
2022,Bucknell,Patriot
2022,Buffalo,MAC
2022,Butler,"Big East"
2022,BYU,WCC
2022,"Cal Poly","Big West"
2022,"Cal St. Fullerton","Big West"
2022,California,Pac-12
2022,"California Baptist",WAC
2022,Campbell,"Big South"
2022,Canisius,MAAC
2022,"Central Ark.",ASUN
2022,"Central Conn. St.",NEC
2022,"Central Mich.",MAC
2022,"Charleston So.","Big South"
2022,Charlotte,C-USA
2022,Chattanooga,SoCon
2022,"Chicago St.",WAC
2022,Cincinnati,AAC
2022,Clemson,ACC
2022,"Cleveland St.",Horizon
2022,"Coastal Carolina","Sun Belt"
2022,"Col. of Charleston",CAA
2022,Colgate,Patriot
2022,Colorado,Pac-12
2022,"Colorado St.","Mountain West"
2022,Columbia,"Ivy League"
2022,"Coppin St.",MEAC
2022,Cornell,"Ivy League"
2022,Creighton,"Big East"
2022,"CSU Bakersfield","Big West"
2022,CSUN,"Big West"
2022,Dartmouth,"Ivy League"
2022,Davidson,"Atlantic 10"
2022,Dayton,"Atlantic 10"
2022,Delaware,CAA
2022,"Delaware St.",MEAC
2022,Denver,"Summit League"
2022,DePaul,"Big East"
2022,"Detroit Mercy",Horizon
2022,"Dixie St.",WAC
2022,Drake,MVC
2022,Drexel,CAA
2022,Duke,ACC
2022,Duquesne,"Atlantic 10"
2022,"East Carolina",AAC
2022,"Eastern Ill.",OVC
2022,"Eastern Ky.",ASUN
2022,"Eastern Mich.",MAC
2022,"Eastern Wash.","Big Sky"
2022,Elon,CAA
2022,ETSU,SoCon
2022,Evansville,MVC
2022,Fairfield,MAAC
2022,"Fairleigh Dickinson",NEC
2022,FGCU,ASUN
2022,FIU,C-USA
2022,"Fla. Atlantic",C-USA
2022,Florida,SEC
2022,"Florida A&M",SWAC
2022,"Florida St.",ACC
2022,Fordham,"Atlantic 10"
2022,"Fresno St.","Mountain West"
2022,Furman,SoCon
2022,"Ga. Southern","Sun Belt"
2022,Gardner-Webb,"Big South"
2022,"George Mason","Atlantic 10"
2022,"George Washington","Atlantic 10"
2022,Georgetown,"Big East"
2022,Georgia,SEC
2022,"Georgia St.","Sun Belt"
2022,"Georgia Tech",ACC
2022,Gonzaga,WCC
2022,Grambling,SWAC
2022,"Grand Canyon",WAC
2022,"Green Bay",Horizon
2022,Hampton,"Big South"
2022,Hartford,"America East"
2022,Harvard,"Ivy League"
2022,Hawaii,"Big West"
2022,"High Point","Big South"
2022,Hofstra,CAA
2022,"Holy Cross",Patriot
2022,Houston,AAC
2022,"Houston Baptist",Southland
2022,Howard,MEAC
2022,Idaho,"Big Sky"
