year,team
2023,Alabama
2023,Arizona
2023,"Arizona St."
2023,Arkansas
2023,Auburn
2023,Baylor
2023,"Boise St."
2023,"Col of Charleston"
2023,Colgate
2023,Creighton
2023,Drake
2023,Duke
2023,"F. Dickinson"
2023,FAU
2023,Furman
2023,Gonzaga
2023,"Grand Canyon"
2023,Houston
2023,Howard
2023,Illinois
2023,Indiana
2023,Iona
2023,Iowa
2023,"Iowa St."
2023,Kansas
2023,"Kansas St."
2023,"Kennesaw St."
2023,"Kent St."
2023,Kentucky
2023,Louisiana
2023,Marquette
2023,Maryland
2023,Memphis
2023,"Miami (FL)"
2023,"Michigan St."
2023,"Mississippi St."
2023,Missouri
2023,"Montana St."
2023,"N Kentucky"
2023,"NC State"
2023,Nevada
2023,Northwestern
2023,"Oral Roberts"
2023,"Penn St."
2023,Pitt
2023,Princeton
2023,Providence
2023,Purdue
2023,"Saint Mary's"
2023,"San Diego St."
2023,"SE Missouri St."
2023,TCU
2023,Tennessee
2023,Texas
2023,"Texas A&M"
2023,"Texas A&M-CC"
2023,"Texas Southern"
2023,UCLA
2023,UConn
2023,UCSB
2023,"UNC Asheville"
2023,USC
2023,"Utah St."
2023,VCU
2023,Vermont
2023,Virginia
2023,"West Virginia"
2023,Xavier
