num_row,team,avg_spread
1,Houston,11.5
2,"Utah St.",11.5
3,"San Diego St.",10.5
4,Gonzaga,9
5,Drake,9
6,Alabama,8.5
7,"Saint Mary's (CA)",7.5
8,Bradley,7
9,Furman,7
10,Texas,7
11,Baylor,7
12,"Boise St.",6.5
13,Kansas,6.5
14,Iona,6
15,"Santa Clara",6
16,Creighton,5.5
17,"UNC Greensboro",5
18,"Kansas St.",5
19,UCLA,5
20,"Indiana St.",5
21,Arizona,5
22,Memphis,4.5
23,Nevada,4.5
24,VCU,4
25,UConn,4
26,"San Jose St.",3.5
27,Maryland,3.5
28,"Iowa St.",3
29,Purdue,3
30,"Southern California",3
31,Clemson,2.5
32,Marquette,2.5
33,"Texas A&M",2.5
34,TCU,2.5
35,"Fla. Atlantic",2
36,Michigan,2
37,Samford,2
38,Illinois,2
39,"North Texas",1.5
40,Kentucky,1.5
41,Virginia,1.5
42,Tulane,1.5
43,"Southern Ill.",1
44,Louisiana,1
45,Belmont,1
46,Cincinnati,1
47,Indiana,1
48,Oregon,1
49,Providence,0.5
50,Tennessee,0.5
51,Xavier,0.5
52,Marshall,0
53,UAB,0
54,"Michigan St.",0
55,"West Virginia",0
56,"Southern Miss.",0
57,Northwestern,0
58,Duke,0
59,"LMU (CA)",0
60,"Texas Tech",0
61,"Oklahoma St.",-0.5
62,"New Mexico",-0.5
63,"Missouri St.",-0.5
64,"Penn St.",-0.5
65,"Miami (FL)",-0.5
66,Auburn,-0.5
67,Oklahoma,-1
68,Missouri,-1
69,"Fresno St.",-1.5
70,Vanderbilt,-1.5
71,Dayton,-1.5
72,"Colorado St.",-1.5
73,Temple,-1.5
74,"North Carolina",-1.5
75,UNLV,-1.5
76,"Murray St.",-2
77,Yale,-2
78,BYU,-2
79,"Washington St.",-2
80,Iowa,-2
81,Rutgers,-2
82,Hofstra,-2.5
83,"James Madison",-2.5
84,"NC State",-2.5
85,Princeton,-3
86,"Arizona St.",-3
87,"San Francisco",-3
88,Pittsburgh,-3
89,"Saint Louis",-3
90,"UNC Asheville",-3.5
91,"Western Caro.",-3.5
92,Penn,-4
93,Colgate,-4
94,"South Alabama",-4
95,Troy,-4
96,"Wichita St.",-4
97,UCF,-4
