num_row,team,avg_performance_score
1,Houston,11.713235294117647
2,Alabama,10.860294117647058
3,UCLA,8.676470588235293
4,Gonzaga,7.8984375
5,Tennessee,7.7734375
6,Texas,7.555147058823529
7,UConn,7.393939393939394
8,"Saint Mary's (CA)",6.73828125
9,Kansas,6.056818181818182
10,Arizona,5.919117647058823
11,Purdue,5.632352941176471
12,"San Diego St.",5.282258064516129
13,Arkansas,4.9609375
14,"Utah St.",4.5227272727272725
15,Creighton,4.109848484848484
16,Baylor,4.08203125
17,Marquette,4
18,Memphis,3.386029411764706
19,"West Virginia",3.352272727272727
20,"Iowa St.",2.96875
21,Xavier,2.9448529411764706
22,Indiana,2.88671875
23,TCU,2.727272727272727
24,Auburn,2.72265625
25,"Kansas St.",2.56640625
26,"Boise St.",2.435483870967742
27,"Fla. Atlantic",2.328125
28,Rutgers,2.117424242424242
29,"Texas A&M",2.109848484848485
30,Maryland,2
31,Kentucky,1.9453125
32,Duke,1.8598484848484849
33,Illinois,1.54296875
34,Drake,1.0416666666666667
35,"New Mexico",0.8508064516129032
36,Nevada,0.6935483870967742
37,UCF,0.5390625
38,Virginia,0.33064516129032256
39,"Ohio St.",0.225
40,"North Carolina",0.2196969696969697
41,"Penn St.",0.16428571428571428
42,Northwestern,0.1640625
43,Cincinnati,0.140625
44,Iowa,0.09274193548387097
45,Providence,0.06640625
46,"NC State",-0.0703125
47,"Oklahoma St.",-0.07575757575757576
48,"Michigan St.",-0.12083333333333333
49,"Southern California",-0.2265625
50,Bradley,-0.375
51,"Miami (FL)",-0.4140625
52,Oregon,-0.571969696969697
53,"Texas Tech",-0.6733870967741935
54,Michigan,-0.6875
55,VCU,-0.6931818181818182
56,Iona,-0.7720588235294118
57,UAB,-0.821969696969697
58,Missouri,-0.9053030303030303
59,"North Texas",-1.2903225806451613
60,"Mississippi St.",-1.30859375
61,Florida,-1.3870967741935485
62,Clemson,-1.5234375
63,"Washington St.",-2.0643939393939394
64,Oklahoma,-2.078125
