"","year","team1","team1_score","team2","team2_score","spread","diff","capped_diff","adjusted","precise_spread","adjusted2","precise_spread2","performance_score","grade"
"1",2023,"Baylor",117,"Mississippi Val.",53,-32.5,64,64,31.5,-31,33,-31.25,32.75,"A+"
"2",2023,"Stanford",88,"Pacific",78,-6,10,10,4,-9.5,0.5,-12,-2,"B"
"3",2023,"Charlotte",82,"Coppin St.",59,-27,23,23,-4,-23.25,-0.25,-24.375,-1.375,"B"
"4",2023,"Kentucky",95,"Howard",63,-8,32,32,24,-14,18,-13,19,"A"
"5",2023,"Villanova",81,"La Salle",68,-10,13,13,3,-15,-2,-14,-1,"B"
"6",2023,"Michigan",75,"Purdue Fort Wayne",56,-23,19,19,-4,-18.5,0.5,-19,0,"B"
"7",2023,"Butler",89,"New Orleans",53,-31,36,36,5,-29.25,6.75,-29,7,"B+"
"8",2023,"St. John's (NY)",97,"Merrimack",72,-13.5,25,25,11.5,-22.75,2.25,-21.375,3.625,"B"
"9",2023,"Clemson",80,"The Citadel",69,-15,11,11,-4,-15.5,-4.5,-19,-8,"C+"
"10",2023,"Rutgers",75,"Columbia",35,-25.5,40,40,14.5,-24.5,15.5,-26.75,13.25,"A-"
"11",2023,"Temple",73,"Wagner",76,-24.5,-3,-3,-27.5,-22.25,-25.25,-22.75,-25.75,"D"
"12",2023,"West Virginia",76,"Mount St. Mary's",58,-14.5,18,18,3.5,-14,4,-15.5,2.5,"B"
"13",2023,"Penn St.",93,"Winthrop",68,-8.5,25,25,16.5,-10.5,14.5,-12.25,12.75,"A-"
"14",2023,"Richmond",69,"VMI",48,-20,21,21,1,-20.5,0.5,-23,-2,"B"
"15",2023,"Indiana",88,"Morehead St.",53,-16,35,35,19,-19.75,15.25,-18.25,16.75,"A"
"16",2023,"Ohio St.",91,"Robert Morris",53,-22,38,38,16,-19,19,-18.875,19.125,"A"
"17",2023,"Maryland",71,"Niagara",49,-10.5,22,22,11.5,-14.25,7.75,-14.5,7.5,"B+"
"18",2023,"Vermont",80,"Brown",65,-10,15,15,5,-13.5,1.5,-13.5,1.5,"B"
"19",2023,"Michigan St.",73,"Northern Ariz.",55,-20.5,18,18,-2.5,-18.5,-0.5,-19.5,-1.5,"B"
"20",2023,"Indiana St.",80,"Green Bay",53,-35.5,27,27,-8.5,-34,-7,-34,-7,"C+"
"21",2023,"Toledo",85,"Valparaiso",70,-8,15,15,7,-10.5,4.5,-13,2,"B"
"22",2023,"Iona",78,"Penn",50,-4,28,28,24,-11,17,-10,18,"A"
"23",2023,"Rhode Island",62,"Quinnipiac",67,-9,-5,-5,-14,-9.5,-14.5,-9.25,-14.25,"C"
"24",2023,"Buffalo",88,"Colgate",87,-4,1,1,-3,-9,-8,-7.5,-6.5,"C+"
"25",2023,"Northern Ky.",57,"Kent St.",79,-7.5,-22,-22,-29.5,-3.5,-25.5,-5,-27,"D"
"26",2023,"Queens (NC)",83,"Marshall",82,0,1,1,1,-1.5,-0.5,-0.5,0.5,"B"
"27",2023,"Akron",81,"South Dakota St.",80,-13,1,1,-12,-13,-12,-13,-12,"C"
"28",2023,"Old Dominion",84,"UMES",65,-13,19,19,6,-17,2,-17.25,1.75,"B"
