,year,team1,team1_score,team2,team2_score
0,2024,Spalding,63,IUPUI,70
1,2024,St. Joseph's (L.I.),48,Hofstra,101
2,2024,Fort Lauderdale,47,Troy,92
3,2024,North American,68,SFA,96
4,2024,Kansas Christian,66,Prairie View,89
5,2024,Georgia,71,Oregon,82
6,2024,Linfield,46,Oregon St.,82
7,2024,John Jay,57,Penn,102
8,2024,Rivier,51,UMass Lowell,96
9,2024,Tennessee Tech,42,Tennessee,80
10,2024,Northern Ariz.,52,UConn,95
11,2024,Samford,45,Purdue,98
12,2024,NJIT,60,Miami (FL),101
13,2024,St. Mary-Woods,60,Indiana St.,90
14,2024,Maine,52,Charlotte,69
15,2024,Va. Wesleyan,57,Old Dominion,71
16,2024,Immaculata,67,Rider,113
17,2024,Winthrop,56,Clemson,78
18,2024,Radford,70,North Carolina,86
19,2024,Monmouth,61,George Mason,72
20,2024,Brown,70,Colgate,72
21,2024,Niagara,63,Notre Dame,70
22,2024,N.C. A&T,52,Pittsburgh,100
23,2024,Piedmont,86,Coastal Carolina,88
24,2024,Longwood,69,St. Bonaventure,73
25,2024,Vassar,53,Yale,102
26,2024,VMI,75,Richmond,93
27,2024,Erskine,58,Gardner-Webb,98
28,2024,Mount Olive,66,UNCW,105
29,2024,New Hampshire,72,Syracuse,83
30,2024,Detroit Mercy,60,Toledo,94
31,2024,UMBC,93,Louisville,94
32,2024,Wash. & Lee,63,Davidson,86
33,2024,Penn St.-Wilkes Barre,55,Norfolk St.,102
34,2024,Hampton,80,Howard,92
35,2024,Sarah Lawrence,51,Sacred Heart,95
36,2024,Central Conn. St.,70,Rhode Island,81
37,2024,King (TN),56,ETSU,73
38,2024,Toccoa Falls,59,Charleston So.,94
39,2024,Delaware St.,45,Penn St.,79
40,2024,Trinity Baptist,54,Stetson,109
41,2024,Columbia,59,Providence,78
42,2024,Johnson (FL),46,Jacksonville,113
43,2024,Ferrum,61,East Carolina,91
44,2024,Delaware,78,Bucknell,57
45,2024,Iona,69,Col. of Charleston,71
46,2024,Queens (NC),73,Marshall,89
