odds_api_name,matched_name
Abilene Christian Wildcats,Abilene Christian
Air Force Falcons,Air Force
Akron Zips,Akron
Alabama A&M Bulldogs,Alabama A&M
Alabama Crimson Tide,Alabama
Alabama St Hornets,Alabama St.
Albany Great Danes,UAlbany
Alcorn St Braves,Alcorn
American Eagles,American
Appalachian St Mountaineers,App State
Arizona St Sun Devils,Arizona St.
Arizona Wildcats,Arizona
Arkansas Razorbacks,Arkansas
Arkansas St Red Wolves,Arkansas St.
Arkansas-Little Rock Trojans,Little Rock
Arkansas-Pine Bluff Golden Lions,Ark.-Pine Bluff
Army Knights,Army West Point
Auburn Tigers,Auburn
Austin Peay Governors,Austin Peay
BYU Cougars,BYU
Ball State Cardinals,Ball St.
Baylor Bears,Baylor
Bellarmine Knights,Bellarmine
Belmont Bruins,Belmont
Bethune-Cookman Wildcats,Bethune-Cookman
Binghamton Bearcats,Binghamton
Boise State Broncos,Boise St.
Boston College Eagles,Boston College
Boston Univ. Terriers,Boston U.
Bowling Green Falcons,Bowling Green
Bradley Braves,Bradley
Brown Bears,Brown
Bryant Bulldogs,Bryant
Bucknell Bison,Bucknell
Buffalo Bulls,Buffalo
Butler Bulldogs,Butler
CSU Bakersfield Roadrunners,CSU Bakersfield
CSU Fullerton Titans,Cal St. Fullerton
CSU Northridge Matadors,CSUN
Cal Baptist Lancers,California Baptist
Cal Poly Mustangs,Cal Poly
California Golden Bears,California
Campbell Fighting Camels,Campbell
Canisius Golden Griffins,Canisius
Central Arkansas Bears,Central Ark.
Central Connecticut St Blue Devils,Central Conn. St.
Central Michigan Chippewas,Central Mich.
Charleston Cougars,Col. of Charleston
Charleston Southern Buccaneers,Charleston So.
Charlotte 49ers,Charlotte
Chattanooga Mocs,Chattanooga
Chicago St Cougars,Chicago St.
Cincinnati Bearcats,Cincinnati
Clemson Tigers,Clemson
Cleveland St Vikings,Cleveland St.
Coastal Carolina Chanticleers,Coastal Carolina
Colgate Raiders,Colgate
Colorado Buffaloes,Colorado
Colorado St Rams,Colorado St.
Columbia Lions,Columbia
Coppin St Eagles,Coppin St.
Cornell Big Red,Cornell
Creighton Bluejays,Creighton
Dartmouth Big Green,Dartmouth
Davidson Wildcats,Davidson
Dayton Flyers,Dayton
DePaul Blue Demons,DePaul
Delaware Blue Hens,Delaware
Delaware St Hornets,Delaware St.
Denver Pioneers,Denver
Detroit Mercy Titans,Detroit Mercy
Drake Bulldogs,Drake
Drexel Dragons,Drexel
Duke Blue Devils,Duke
Duquesne Dukes,Duquesne
East Carolina Pirates,East Carolina
Eastern Illinois Panthers,Eastern Ill.
Eastern Kentucky Colonels,Eastern Ky.
Eastern Michigan Eagles,Eastern Mich.
Eastern Washington Eagles,Eastern Wash.
Elon Phoenix,Elon
Evansville Purple Aces,Evansville
Fairfield Stags,Fairfield
Fairleigh Dickinson Knights,FDU
Florida A&M Rattlers,Florida A&M
Florida Atlantic Owls,Fla. Atlantic
Florida Gators,Florida
Florida Gulf Coast Eagles,FGCU
Florida St Seminoles,Florida St.
Fordham Rams,Fordham
Fort Wayne Mastodons,Purdue Fort Wayne
Fresno St Bulldogs,Fresno St.
Furman Paladins,Furman
GW Revolutionaries,George Washington
Gardner-Webb Bulldogs,Gardner-Webb
George Mason Patriots,George Mason
Georgetown Hoyas,Georgetown
Georgia Bulldogs,Georgia
Georgia Southern Eagles,Ga. Southern
Georgia St Panthers,Georgia St.
Georgia Tech Yellow Jackets,Georgia Tech
Gonzaga Bulldogs,Gonzaga
Grambling St Tigers,Grambling
Grand Canyon Antelopes,Grand Canyon
Green Bay Phoenix,Green Bay
Hampton Pirates,Hampton
Harvard Crimson,Harvard
Hawai'i Rainbow Warriors,Hawaii
High Point Panthers,High Point
Hofstra Pride,Hofstra
Holy Cross Crusaders,Holy Cross
Houston Christian Huskies,Houston Christian
Houston Cougars,Houston
Howard Bison,Howard
IUPUI Jaguars,IU Indy
Idaho State Bengals,Idaho St.
Idaho Vandals,Idaho
Illinois Fighting Illini,Illinois
Illinois St Redbirds,Illinois St.
Indiana Hoosiers,Indiana
Indiana St Sycamores,Indiana St.
Iona Gaels,Iona
Iowa Hawkeyes,Iowa
Iowa State Cyclones,Iowa St.
Jackson St Tigers,Jackson St.
Jacksonville Dolphins,Jacksonville
Jacksonville St Gamecocks,Jacksonville St.
James Madison Dukes,James Madison
Kansas Jayhawks,Kansas
Kansas St Wildcats,Kansas St.
Kennesaw St Owls,Kennesaw St.
Kent State Golden Flashes,Kent St.
Kentucky Wildcats,Kentucky
LIU Sharks,LIU
LSU Tigers,LSU
La Salle Explorers,La Salle
Lafayette Leopards,Lafayette
Lamar Cardinals,Lamar University
Le Moyne Dolphins,Le Moyne
Lehigh Mountain Hawks,Lehigh
Liberty Flames,Liberty
Lindenwood Lions,Lindenwood
Lipscomb Bisons,Lipscomb
Long Beach St 49ers,Long Beach St.
Longwood Lancers,Longwood
Louisiana Ragin' Cajuns,Louisiana
Louisiana Tech Bulldogs,Louisiana Tech
Louisville Cardinals,Louisville
Loyola (Chi) Ramblers,Loyola Chicago
Loyola (MD) Greyhounds,Loyola Maryland
Loyola Marymount Lions,LMU (CA)
Maine Black Bears,Maine
Manhattan Jaspers,Manhattan
Marist Red Foxes,Marist
Marquette Golden Eagles,Marquette
Marshall Thundering Herd,Marshall
Maryland Terrapins,Maryland
