,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
0,IU Columbus,44,IU Indy,100,IU Indy,30.29658031463623,-56,-25.70341968536377
1,Oglethorpe,51,Middle Tenn.,97,Middle Tenn.,45.306640625,-46,-0.693359375
2,UNT Dallas,55,UT Arlington,90,UT Arlington,33.515625,-35,-1.484375
3,Col. of Charleston,90,Southern Ill.,80,Southern Ill.,35.197919845581055,10,45.197919845581055
4,LaGrange,48,Jacksonville St.,112,Jacksonville St.,43.70654296875,-64,-20.29345703125
5,Saint Louis,78,Santa Clara,85,Santa Clara,48.5950927734375,-7,41.5950927734375
6,Denver,62,Stanford,85,Stanford,48.0,-23,25.0
7,Penn St.-York,66,UMBC,95,UMBC,35.610870361328125,-29,6.610870361328125
8,Framingham St.,62,Stonehill,81,Stonehill,29.0,-19,10.0
9,Erskine,58,Wofford,112,Wofford,40.73723888397217,-54,-13.262761116027832
10,Valparaiso,63,Liberty,83,Liberty,48.06564807891846,-20,28.065648078918457
11,Old Westbury,62,Hofstra,89,Hofstra,41.339805603027344,-27,14.339805603027344
12,Marist,66,Harvard,79,Harvard,35.31565475463867,-13,22.315654754638672
13,Sacred Heart,70,Temple,81,Temple,43.40625,-11,32.40625
14,McNeese,73,South Dakota St.,80,South Dakota St.,44.0,-7,37.0
15,Georgian Court,43,Drexel,95,Drexel,39.359375,-52,-12.640625
16,A&M-Corpus Christi,73,Purdue,90,Purdue,58.23876953125,-17,41.23876953125
17,Washington Col.,54,VMI,103,VMI,31.4375,-49,-17.5625
18,Rivier,59,UMass Lowell,115,UMass Lowell,40.33708572387695,-56,-15.662914276123047
19,Houghton,65,Niagara,100,Niagara,31.9765625,-35,-3.0234375
20,Piedmont,65,Winthrop,125,Winthrop,39.75,-60,-20.25
21,Miami (OH),77,App State,63,App State,41.0,14,55.0
22,Fordham,60,St. John's (NY),92,St. John's (NY),57.9224910736084,-32,25.9224910736084
23,Bucknell,85,Delaware,73,Delaware,37.121315002441406,12,49.121315002441406
24,Missouri St.,65,Butler,72,Butler,48.984375,-7,41.984375
25,Trinity Baptist,65,Jacksonville,78,Jacksonville,41.28623962402344,-13,28.286239624023438
26,Wright St.,62,Kentucky,103,Kentucky,64.28585815429688,-41,23.285858154296875
27,Cheyney,55,N.C. A&T,107,N.C. A&T,29.35625457763672,-52,-22.64374542236328
28,Bellarmine,65,VCU,84,VCU,52.91224479675293,-19,33.91224479675293
29,Penn,58,NJIT,57,NJIT,22.015625,1,23.015625
30,Buffalo,83,Old Dominion,82,Old Dominion,29.83685874938965,1,30.83685874938965
31,Ohio,78,James Madison,88,James Madison,41.66998291015625,-10,31.66998291015625
32,Lynchburg,39,Queens (NC),90,Queens (NC),37.0,-51,-14.0
33,Dickinson,36,William & Mary,84,William & Mary,36.697662353515625,-48,-11.302337646484375
34,N.C. Central,58,George Mason,75,George Mason,49.25,-17,32.25
35,American,52,La Salle,65,La Salle,45.20273303985596,-13,32.20273303985596
36,William Peace,47,Davidson,88,Davidson,44.52786827087402,-41,3.5278682708740234
37,FDU,72,Miami (FL),113,Miami (FL),41.625,-41,0.625
38,New College (FL),75,Stetson,94,Stetson,28.75,-19,9.75
39,Le Moyne,82,Syracuse,86,Syracuse,44.265625,-4,40.265625
40,Toledo,74,Troy,84,Troy,44.91935348510742,-10,34.91935348510742
41,New Hampshire,74,Massachusetts,103,Massachusetts,39.0,-29,10.0
42,Cleary,52,Detroit Mercy,91,Detroit Mercy,31.45989990234375,-39,-7.54010009765625
43,VTSU Lyndon,47,Dartmouth,129,Dartmouth,31.20465087890625,-82,-50.79534912109375
44,Defiance,52,Oakland,75,Oakland,38.0,-23,15.0
45,Ark.-Pine Bluff,54,Cincinnati,109,Cincinnati,56.36847686767578,-55,1.3684768676757812
46,Davis & Elkins,57,Marshall,90,Marshall,40.74160385131836,-33,7.741603851318359
47,Biblical Stud. (TX),90,Prairie View,111,Prairie View,24.417550086975098,-21,3.4175500869750977
48,Marywood,52,Cornell,93,Cornell,44.1365966796875,-41,3.1365966796875
49,Morris,55,South Carolina St.,137,South Carolina St.,34.375,-82,-47.625
50,Newberry,51,ETSU,72,ETSU,40.62460803985596,-21,19.624608039855957
51,Manhattan,49,Maryland,79,Maryland,57.875,-30,27.875
52,Frostburg St.,76,Morgan St.,89,Morgan St.,25.521320343017578,-13,12.521320343017578
53,Monmouth,57,Michigan St.,81,Michigan St.,59.0,-24,35.0
54,Saint Francis,57,Dayton,87,Dayton,54.8515625,-30,24.8515625
55,USC Upstate,66,NC State,97,NC State,48.26335144042969,-31,17.263351440429688
56,Navy,63,Saint Joseph's,70,Saint Joseph's,47.125,-7,40.125
57,N.C. Wesleyan,70,East Carolina,97,East Carolina,39.5,-27,12.5
58,Morehead St.,45,Louisville,93,Louisville,59.125,-48,11.125
59,Brown,71,Siena,72,Siena,33.2109375,-1,32.2109375
60,North Florida,74,South Carolina,71,South Carolina,46.75,3,49.75
