,year,team,nickname
0,2025,Ashland,Eagles
1,2025,Assumption,Greyhounds
2,2025,Auburn-Montgomery,Warhawks
3,2025,Auburn,Tigers
4,2025,Augsburg,Auggies
5,2025,Augustana (IL),Vikings
6,2025,Augustana (SD),Vikings
7,2025,Aurora,Spartans
8,2025,Austin,Kangaroos
9,2025,Austin Peay,Governors
10,2025,Averett,Cougars
11,2025,Azusa Pacific,Cougars
12,2025,Babson,Beavers
13,2025,CSU Bakersfield,Roadrunners
14,2025,Baldwin Wallace,Yellow Jackets
15,2025,Ball St.,Cardinals
16,2025,Bard,Raptors
17,2025,Barry,Buccaneers
18,2025,Barton,Bulldogs
19,2025,Baruch,Bearcats
20,2025,Bates,Bobcats
21,2025,Baylor,Bears
22,2025,Belhaven,Blazers
23,2025,Bellarmine,Knights
24,2025,Belmont,Bruins
25,2025,Belmont Abbey,Crusaders
26,2025,Beloit,Buccaneers
27,2025,Bemidji St.,Beavers
28,2025,Benedict,Tigers
29,2025,Benedictine (IL),Eagles
30,2025,Bentley,Falcons
31,2025,Berea College,Mountaineers
32,2025,Berry,Vikings
33,2025,Bethany Lutheran,Vikings
34,2025,Bethany (WV),Bison
35,2025,Bethel (MN),Royals
36,2025,Bethune-Cookman,Wildcats
37,2025,Binghamton,Bearcats
38,2025,Biola,Eagles
39,2025,Black Hills St.,Yellow Jackets
40,2025,Blackburn,Battlin' Beavers
41,2025,Bloomfield,Bears
42,2025,Bloomsburg,Huskies
43,2025,Bluefield St.,Big Blue
44,2025,Bluffton,Beavers
45,2025,Boise St.,Broncos
46,2025,Boston College,Eagles
47,2025,Boston U.,Terriers
48,2025,Bowdoin,Polar Bears
49,2025,Bowie St.,Bulldogs
50,2025,Bowling Green,Falcons
51,2025,Bradley,Braves
52,2025,Brandeis,Judges
53,2025,Brevard,Tornados
54,2025,Bridgeport,Purple Knights
55,2025,Bridgewater St.,Bears
56,2025,Bridgewater (VA),Eagles
57,2025,Brooklyn,Bulldogs
58,2025,Brown,Bears
59,2025,Bryant,Bulldogs
60,2025,Bryn Athyn,Lions
61,2025,Bucknell,Bison
62,2025,Buena Vista,Beavers
63,2025,Buffalo,Bulls
64,2025,Buffalo St.,Bengals
65,2025,Butler,Bulldogs
66,2025,BYU,Cougars
67,2025,Cairn,Highlanders
68,2025,Cal Lutheran,Kingsmen
69,2025,Cal Poly,Mustangs
70,2025,Cal Poly Pomona,Broncos
71,2025,Cal St. Dom. Hills,Toros
72,2025,Cal St. East Bay,Pioneers
73,2025,Cal St. Fullerton,Titans
74,2025,Cal State LA,Golden Eagles
75,2025,Cal St. Monterey Bay,Otters
76,2025,Cal St. Northridge,Matadors
77,2025,Cal St. San B'dino,Coyotes
78,2025,Cal State-San Marcos,Cougars
79,2025,Cal St. Stanislaus,Warriors
80,2025,Caldwell,Cougars
81,2025,California,Golden Bears
82,2025,Cal Baptist,Lancers
83,2025,California (PA),Vulcans
84,2025,Caltech,Beavers
85,2025,Calvin,Knights
86,2025,Cameron,Aggies
87,2025,Campbell,Fighting Camels
88,2025,Canisius,Golden Griffins
89,2025,Capital,Comets
90,2025,Carleton,Knights
91,2025,Carnegie Mellon,Tartans
92,2025,Carroll (WI),Pioneers
93,2025,Carson-Newman,Eagles
94,2025,Carthage,Firebirds
95,2025,Case Western Reserve,Spartans
96,2025,Castleton,Spartans
97,2025,Catawba,Catawba Indians
98,2025,Catholic,Cardinals
99,2025,Cazenovia,Wildcats
100,2025,CCNY,Beavers
101,2025,Cedarville,Yellow Jackets
102,2025,Centenary (LA),Gents
103,2025,Centenary (NJ),Cyclones
104,2025,Central Ark.,Bears
105,2025,Central Conn. St.,Blue Devils
106,2025,Central (IA),Dutch
107,2025,Central Mich.,Chippewas
108,2025,Central Mo.,Mules
109,2025,Central Okla.,Bronchos
110,2025,Central St. (OH),Marauders
111,2025,Central Wash.,Wildcats
112,2025,Centre,Colonels
113,2025,Chadron St.,Eagles
114,2025,Chaminade,Silverswords
115,2025,Chapman,Panthers
116,2025,Charleston So.,Buccaneers
117,2025,Charleston (WV),Golden Eagles
118,2025,Charlotte,49ers
119,2025,Chatham,Cougars
120,2025,Tenn-Chattanooga ,Mocs
121,2025,Chestnut Hill,Griffins
122,2025,Chicago,Maroons
123,2025,Chicago St.,Cougars
124,2025,Chico State,Wildcats
125,2025,Chowan,Hawks
126,2025,Chris. Newport,Captains
127,2025,Christian Bros.,Buccaneers
128,2025,Cincinnati,Bearcats
129,2025,Citadel,Bulldogs
130,2025,Claflin,Panthers
131,2025,Claremont-M-S,Stags
132,2025,Clarion,Golden Eagles
133,2025,Clark Atlanta,Panthers
134,2025,Clark (MA),Cougars
135,2025,Clarkson,Golden Knights
136,2025,Clayton St.,Lakers
137,2025,Clemson,Tigers
138,2025,Cleveland St.,Vikings
139,2025,Coast Guard,Bears
140,2025,Coastal Caro.,Chanticleers
141,2025,Suny-Cobleskill ,Fighting Tigers
142,2025,Coe,Kohawks
143,2025,Coker,Cobras
144,2025,Col. of Charleston,Cougars
145,2025,Colby,Mules
146,2025,Colby-Sawyer,Chargers
147,2025,Colgate,Raiders
148,2025,Colo. Christian,Cougars
149,2025,Colorado,Buffaloes
150,2025,Colorado Col.,Tigers
151,2025,Colorado Mesa,Mavericks
152,2025,Colorado School of Mines,Orediggers
153,2025,Colorado St.,Rams
154,2025,Colorado St.-Pueblo,ThunderWolves
155,2025,Columbia,Lions
156,2025,Columbus St.,Cougars
157,2025,Concord,Mountain Lions
158,2025,Concordia Chicago,Cougars
159,2025,Concordia University Irvine,Golden Eagles
160,2025,Concordia-M'head,Cobbers
161,2025,Concordia-St. Paul,Golden Bears
162,2025,Concordia (TX),Tornados
163,2025,Concordia (Wis.),Falcons
164,2025,Connecticut Col.,Camels
165,2025,Converse,Valkyries
166,2025,Coppin St.,Eagles
167,2025,Cornell,Big Red
168,2025,Cornell College,Rams
169,2025,Covenant,Scots
170,2025,Creighton,Bluejays
171,2025,Crown (MN),Polars
172,2025,Curry,Colonels
173,2025,Daemen,Wildcats
174,2025,Dallas,Crusaders
175,2025,Dallas Baptist,Patriots
176,2025,Dartmouth,Big Green
177,2025,Davenport,Panthers
178,2025,Davidson,Wildcats
179,2025,Davis & Elkins,Senators
180,2025,Dayton,Flyers
181,2025,Delaware,Blue Hens
182,2025,Delaware St.,Hornets
183,2025,Delaware Valley,Aggies
184,2025,Delta St.,Statesmen
185,2025,Denison,Big Red
186,2025,Denver,Pioneers
187,2025,DePaul,Blue Demons
188,2025,DePauw,Tigers
189,2025,DeSales,Bulldogs
190,2025,Detroit,Titans
191,2025,Dickinson,Red Devils
192,2025,Dist. Columbia,Firebirds
193,2025,Dominican (Cal.),Penguins
194,2025,Dominican (IL),Stars
195,2025,Dominican (NY),Chargers
196,2025,Drake,Bulldogs
197,2025,Drew,Rangers
198,2025,Drexel,Dragons
199,2025,Drury,Panthers
200,2025,Dubuque,Spartans
201,2025,Duke,Blue Devils
202,2025,Duquesne,Dukes
203,2025,D'Youville,Saints
204,2025,Earlham,Quakers
205,2025,East Carolina,Pirates
206,2025,East Central,Tigers
207,2025,East. Mennonite,Royals
208,2025,East Stroudsburg,Warriors
209,2025,East Tenn. St.,Buccaneers
210,2025,East Tex. Baptist,Tigers
211,2025,Eastern,Eagles
212,2025,Eastern Conn. St.,Warriors
213,2025,Eastern Ill.,Panthers
214,2025,Eastern Ky.,Colonels
215,2025,Eastern Mich.,Eagles
216,2025,Eastern N.M.,Greyhounds
217,2025,Eastern Wash.,Eagles
218,2025,Eckerd,Tritons
219,2025,Edgewood,Eagles
220,2025,Edinboro,Fighting Scots
221,2025,Edward Waters,Tigers
222,2025,Elizabeth City St.,Vikings
223,2025,Elizabethtown,Blue Jays
