year,team1,team1_score,team2,team2_score
2018,Elon,68,Duke,97
2018,"North Florida",66,"Mich. St. ",98
2018,"Northern Ariz.",67,Arizona,101
2018,"Tennessee State",56,Kansas,92
2018,"Utah Valley",63,Kentucky,73
2018,Columbia,60,Villanova,75
2018,UMKC,57,"Wichita State",109
2018,UNI,69,"North Carolina",86
2018,"CSU Fullerton",42,USC,84
2018,"West Virginia",65,"Texas A&M;",88
2018,"Savannah State",77,Cincinnati,107
2018,Gardner-Webb,45,"Miami (Fla.)",77
2018,"S.C. Upstate",77,Minnesota,92
2018,"Morehead State",49,Xavier,101
2018,"Texas Southern",69,Gonzaga,97
2018,"Loyola (Md.)",75,Northwestern,79
2018,SIUE,74,Purdue,105
2018,UCLA,63,"Georgia Tech",60
2018,"Fairleigh D'son",68,"Seton Hall",90
2018,"Central Ark.",66,Baylor,107
2018,"Lamar University",74,Tulsa,67
2018,Wheelock,39,"New Hampshire",95
2018,Millsaps,46,"Jackson State",84
2018,Oglethorpe,73,Citadel,109
2018,Campbell,75,"Penn St.",86
2018,"Siena Heights",48,"Cent. Michigan",108
2018,"Walla Walla",61,"Eastern Wash.",82
2018,"Bridgewater ",50,"James Madison",80
2018,"Detroit Mercy",79,"Virginia Tech",111
2018,Eureka,65,"North Texas",122
2018,"Holy Cross",69,"Sacred Heart",64
2018,Memphis,70,Alabama,82
2018,"Alabama State",68,"Mississippi St.",96
2018,"Cal Poly",62,Stanford,78
2018,Cornell,45,Syracuse,77
2018,VMI,67,"NC State",102
2018,"S. Carolina St.",50,Wisconsin,85
2018,"Miami (Ohio)",55,Fordham,54
2018,UNC-Greensboro,48,Virginia,60
2018,"Kennesaw State",64,Butler,82
2018,"Houston Baptist",55,Providence,84
2018,Presbyterian,53,Tennessee,88
2018,Colgate,58,UConn,70
2018,"Western Caro.",57,Clemson,85
2018,"Robert Morris",64,"Ohio St. ",95
2018,"Indiana State",90,Indiana,69
2018,"Stony Brook",61,Maryland,76
2018,Bryant,54,Georgia,79
2018,"Charleston So.",62,Davidson,110
2018,"Ball State",77,Dayton,78
2018,"New Orleans",61,"St. John's ",77
2018,CCNY,38,Rutgers,94
2018,Lafayette,65,"George Mason",67
2018,Mass.-Lowell,69,Massachusetts,74
2018,Delaware,76,Richmond,63
2018,Grambling,65,VCU,94
2018,"Florida Mem.",47,FIU,70
2018,"Bob Jones",48,Furman,101
2018,Iona,67,Albany,69
2018,Towson,54,"Old Dominion",57
2018,"South Carolina",73,Wofford,52
2018,"Morgan State",59,Binghamton,76
2018,Siena,60,Charleston,68
2018,"Baptist Bible ",42,Liberty,87
2018,"Bowling Green",78,Drexel,69
2018,"Army West Point",74,Hofstra,77
2018,"Ga. S'western",63,Radford,72
2018,MIT,64,Harvard,73
2018,"Southern Ill.",81,Winthrop,66
2018,"East Tenn. St.",63,"Northern Kentucky",81
2018,IPFW,71,Oakland,85
2018,Maine,65,"Boston College",85
2018,"Ga. Southern",85,"Wake Forest",83
2018,Howard,75,"Geo. Washington",84
2018,"UNC Asheville",60,"Rhode Island",84
2018,Methodist,76,Charlotte,116
2018,"Piedmont Int'l",50,"Coastal Caro.",102
2018,Texas-Tyler,71,"Louisiana Tech",112
2018,Northeastern,65,"Boston U.",59
2018,Emory,83,Lipscomb,98
2018,Cairn,50,"Delaware State",71
2018,"Norfolk State",74,Auburn,102
2018,"Alcorn State",59,LSU,99
2018,"McNeese ",53,Houston,81
2018,Samford,56,Arkansas,95
2018,"Southern Univ.",55,Illinois,102
2018,Louisiana,76,Mississippi,94
2018,"Northern Colo.",51,Colorado,66
2018,UMBC,67,SMU,78
2018,"Florida Atlantic",59,"South Florida",60
2018,"LIU Brooklyn",96,Tulane,102
2018,Mercer,79,UCF,88
2018,"UC Santa Cruz",65,"Fresno State",96
2018,"Arkansas State",63,Evansville,77
2018,"Seattle U",46,"Saint Louis",62
2018,Niagara,77,"St. Bonaventure",75
2018,"Wright State",80,"Loyola Chicago",84
2018,"North Park",46,Valparaiso,88
2018,Tennessee-Martin,91,Marshall,102
2018,"Eastern Kentucky",73,Rice,72
2018,"S'western (Texas)",71,"Incarnate Word",87
2018,Southern-N.O.,69,"Southern Miss",79
2018,Jacksonville,67,UAB,96
2018,"Missouri State",85,"Western Ky.",80
2018,"Nicholls State",111,UTRGV,106
2018,"Tenn. Wesleyan",42,"Jacksonville St.",100
2018,Avila,72,"Oral Roberts",86
2018,Brescia,61,"Murray State",118
2018,"Cent. Conn. St.",84,Hartford,85
2018,"William & Mary",66,"High Point",100
2018,"N.C. Central",55,Illinois-Chicago,65
2018,"Fla. Christian",66,Bethune-Cookman,108
2018,Hampton,75,Rider,90
2018,"Valley Forge",69,"Md.-East. Shore",95
2018,Greensboro,80,"N.C. A&T;",104
2018,Omaha,80,"Montana St.",89
2018,"N'western St.",59,Texas,105
2018,Pepperdine,47,"Oklahoma State",78
2018,"Hillsdale Baptist",68,"Abilene Christian",86
2018,"Centenary (La.)",67,"Southeastern La.",99
2018,"Our Lady Of The Lake",68,"Texas A&M-C.C.;",69
2018,Bucknell,78,Monmouth,79
2018,La.-Monroe,73,TCU,83
2018,"South Alabama",50,"Texas Tech",75
2018,"Iowa State",59,Missouri,74
2018,Yale,76,Creighton,92
2018,American,45,"Kansas St.",83
2018,"Mt. St. Mary's",59,Marquette,80
2018,Chattanooga,65,Wyoming,74
2018,"Louisiana Coll.",50,UTEP,100
2018,Pittsburgh,62,Navy,71
2018,"Florida A&M;",51,"Grand Canyon",67
2018,"East Central",55,"New Mexico St.",81
2018,"Utah State",59,"Weber State",65
2018,Whitworth,60,Montana,72
2018,"Chicago State",62,Iowa,95
2018,"UC Irvine",54,"South Dakota St.",65
2018,"Austin Peay",54,Vanderbilt,73
2018,"Sacramento St.",61,"Colorado State",72
2018,"North Dakota",83,Troy,80
2018,"Southern Utah",82,"Oregon St.",99
2018,"Prairie View A&M;",62,Utah,83
2018,"Idaho State",74,"Arizona St.",94
2018,Belmont,82,Washington,86
2018,"Eastern Oregon",65,"Boise State",104
2018,Idaho,64,Nevada,88
2018,"Antelope Valley",45,"San Jose State",97
2018,"San Diego Christian",52,"San Diego State",91
2018,"La Verne",70,"Santa Clara",120
2018,Whittier,66,"CSU Bakersfield",88
2018,"LIFE Pacific",50,CSUN,76
2018,"Spring Arbor",60,"Eastern Mich.",92
2018,"Long Beach St.",83,"San Francisco",71
2018,"UC Riverside",74,California,66
2018,"Coppin State",54,Oregon,70
2018,"Trevecca Nazarene",52,"Middle Tenn.",104
2018,"Webber Int'l",89,Stetson,98
2018,"Ark.-Pine Bluff",70,Hawaii,82
2018,"Utah Valley",69,Duke,99
2018,"Notre Dame",72,DePaul,58
2018,"St. Francis (Pa.)",68,"St. Mary's (Cal.)",85
2018,Canisius,75,Buffalo,80
2018,"Illinois State",87,FGCU,98
2018,Penn,72,Fairfield,80
2018,"St. Peter's",40,"La Salle",61
2018,Coe,54,Drake,101
2018,IUPUI,53,Bradley,68
2018,"John. & Wales (R.I.)",78,Brown,106
2018,"Alabama A&M;",53,Ohio,61
2018,"Siena Heights",72,"Western Mich.",103
2018,Dartmouth,77,Quinnipiac,78
2018,"Steph. F. Austin",74,Longwood,61
2018,"Toccoa Falls",34,"Appalachian St.",135
2018,"Ouachita Bapt.",81,"Little Rock",79
2018,"North Dakota St.",66,"UC Santa Barb.",85
2018,"St. Francis (B'klyn)",70,Duquesne,80
2018,Wagner,60,NJIT,49
2018,"Cleveland State",57,Akron,67
2018,"Saint Joseph's",87,Toledo,98
2018,"Mayville State",59,"South Dakota",87
2018,Johnson,87,Presbyterian,107
2018,"N.C. Wesleyan",81,UNCW,105
2018,Lehigh,84,Marist,76
2018,Peace,53,Elon,96
2018,"North Florida",66,Michigan,86
2018,Texas-Tyler,51,"Sam Houston St.",91
2018,"Loyola Marym't",80,Texas-Arlington,85
2018,"St. Mary's (Minn.)",68,"Western Illinois",109
2018,"Eastern Illinois",68,Nebraska,72
2018,"Miss. Valley St.",61,BYU,91
2018,"Northern N.M.",76,"New Mexico",147
2018,"Youngstown St.",78,"Kent State",111
2018,"Portland State",80,Portland,75
2018,"Florida A&M;",66,UNLV,108
2018,UMBC,78,Arizona,103
2018,Vermont,69,Kentucky,73
2018,Navy,55,"Miami (Fla.)",89
2018,"George Mason",61,Louisville,72
2018,"Chicago State",42,Purdue,111
2018,Monmouth,65,"Seton Hall",75
2018,"S. Carolina St.",52,"Boston College",91
2018,Mass.-Boston,63,Mass.-Lowell,102
2018,Omaha,89,Oklahoma,108
2018,Eureka,69,"Loyola Chicago",96
2018,Allen,66,"S.C. Upstate",85
2018,Mary,54,"South Dakota St.",78
2018,"N.C. A&T;",63,Clemson,87
2018,Michigan-Dearborn,73,"Eastern Mich.",97
2018,"Toccoa Falls",43,Mercer,110
2018,"Washington & Lee",66,Wofford,103
2018,Massachusetts,67,Harvard,70
2018,"Bridgewater ",57,"Appalachian St.",95
2018,Radford,72,"Ohio St. ",82
2018,"Cent. Conn. St.",67,Rutgers,71
2018,"Charleston So.",56,"NC State",78
2018,"Cal Poly",82,California,85
2018,"Texas Southern",84,"Washington St.",86
2018,"Texas State",57,"Air Force",65
2018,La.-Monroe,65,SMU,83
2018,"Southern Utah",69,"Boise State",90
2018,"East Central",59,UTSA,92
2018,Gordon,63,Hartford,80
2018,Wentworth,49,Northeastern,83
2018,"Alabama State",58,Iowa,92
2018,Defiance,59,IPFW,114
2018,"Fairleigh D'son",57,"Penn St.",81
2018,"Coppin State",50,"East Carolina",76
2018,"San Diego",81,"San Jose State",64
2018,"Ozarks ",51,"Central Ark.",99
2018,"Morehead State",70,Lipscomb,77
2018,LeTourneau,99,"N'western St.",84
2018,Haskell,59,UMKC,110
2018,"Bluefield Col.",68,Hampton,85
2018,Princeton,75,Butler,85
2018,Bucknell,73,Arkansas,101
2018,Tennessee-Martin,74,Illinois,77
2018,"Md.-East. Shore",43,Maryland,96
2018,Yale,61,Wisconsin,89
2018,"UC Irvine",83,Denver,69
2018,"Alcorn State",72,Creighton,109
2018,Citadel,93,"Virginia Tech",132
2018,Stetson,70,FIU,64
2018,"Puget Sound",70,"Seattle U",121
2018,Troy,81,"Ark.-Pine Bluff",57
2018,Howard,77,Indiana,86
2018,"Eastern Wash.",69,Washington,79
2018,Jacksonville,57,Georgetown,73
2018,Pacific,80,Stanford,89
2018,"North Dakota",78,Hawaii,81
2018,Charleston,63,"Wichita State",81
