"","team2","year","team1","team1_score","team2_score","spread","adjusted_diff"
"1","Abilene Christian",2018,"Nicholls State",69,65,-22.25,-18.25
"2","Abilene Christian",2018,"Incarnate Word",69,80,-22.25,-33.25
"3","Abilene Christian",2018,"Houston Baptist",74,82,-22.25,-30.25
"4","Abilene Christian",2018,"Air Force",58,62,-22.25,-26.25
"5","Abilene Christian",2018,"Lipscomb",67,65,-22.25,-20.25
"6","Abilene Christian",2018,"S.C. Upstate",88,78,-22.25,-12.25
"7","Abilene Christian",2018,"Lamar University",69,74,-22.25,-27.25
"8","Abilene Christian",2018,"Southeastern La.",68,54,-22.25,-8.25
"9","Abilene Christian",2018,"N'western St.",58,69,-22.25,-33.25
"10","Abilene Christian",2018,"Central Ark.",63,80,-22.25,-39.25
"11","Abilene Christian",2018,"Incarnate Word",59,69,-22.25,-32.25
"12","Abilene Christian",2018,"Schreiner",43,71,-22.25,-50.25
"13","Abilene Christian",2018,"Central Ark.",74,72,-22.25,-20.25
"14","Abilene Christian",2018,"SFA",76,56,-22.25,-2.25
"15","Abilene Christian",2018,"Texas A&M-C.C.;",80,66,-22.25,-8.25
"16","Abilene Christian",2018,"McNeese ",74,79,-22.25,-27.25
"17","Abilene Christian",2018,"Campbell",80,85,-22.25,-27.25
"18","Abilene Christian",2018,"Steph. F. Austin",76,66,-22.25,-12.25
"19","Abilene Christian",2018,"Texas A&M-C.C.;",76,67,-22.25,-13.25
"20","Abilene Christian",2018,"New Orleans",77,74,-22.25,-19.25
"21","Abilene Christian",2018,"Lipscomb",75,67,-22.25,-14.25
"22","Abilene Christian",2018,"Texas State",68,72,-22.25,-26.25
"23","Abilene Christian",2018,"Bowling Green",83,88,-22.25,-27.25
"24","Abilene Christian",2018,"Sam Houston St.",84,77,-22.25,-15.25
"25","Abilene Christian",2018,"Sam Houston St.",72,75,-22.25,-25.25
"26","Abilene Christian",2018,"Southeastern La.",72,70,-22.25,-20.25
"27","Abilene Christian",2018,"Arkansas State",83,69,-22.25,-8.25
"28","Abilene Christian",2018,"Arlington Baptist",60,109,-22.25,-71.25
"29","Abilene Christian",2018,"Texas Tech",74,47,-22.25,4.75
"30","Abilene Christian",2018,"Hillsdale Baptist",68,86,-22.25,-40.25
"31","Abilene Christian",2018,"Howard Payne",62,112,-22.25,-72.25
"32","Air Force",2018,"Colorado",81,69,-11.5,0.5
"33","Air Force",2018,"Fresno State",71,59,-11.5,0.5
"34","Air Force",2018,"Texas State",57,65,-11.5,-19.5
"35","Air Force",2018,"Wyoming",66,54,-11.5,0.5
"36","Air Force",2018,"Boise State",70,64,-11.5,-5.5
"37","Air Force",2018,"San Jose State",61,83,-11.5,-33.5
"38","Air Force",2018,"Boise State",76,52,-11.5,12.5
"39","Air Force",2018,"Pacific",83,71,-11.5,0.5
"40","Air Force",2018,"Utah State",71,49,-11.5,10.5
"41","Air Force",2018,"San Diego State",67,56,-11.5,-0.5
"42","Air Force",2018,"Canisius",79,93,-11.5,-25.5
"43","Air Force",2018,"Fresno State",54,48,-11.5,-5.5
"44","Air Force",2018,"Nevada",86,75,-11.5,-0.5
"45","Air Force",2018,"New Mexico",87,58,-11.5,17.5
"46","Air Force",2018,"UNLV",81,73,-11.5,-3.5
"47","Air Force",2018,"Army West Point",79,54,-11.5,13.5
"48","Air Force",2018,"Abilene Christian",62,58,-11.5,-7.5
"49","Air Force",2018,"Ark.-Pine Bluff",47,57,-11.5,-21.5
"50","Air Force",2018,"San Jose State",71,78,-11.5,-18.5
"51","Air Force",2018,"Colorado State",71,76,-11.5,-16.5
"52","Air Force",2018,"Western State",67,79,-11.5,-23.5
"53","Air Force",2018,"UNLV",81,76,-11.5,-6.5
"54","Air Force",2018,"Denver",59,61,-11.5,-13.5
"55","Air Force",2018,"New Mexico",92,100,-11.5,-19.5
"56","Air Force",2018,"Indiana State",74,64,-11.5,-1.5
"57","Air Force",2018,"Colorado State",73,78,-11.5,-16.5
"58","Air Force",2018,"UC Riverside",67,48,-11.5,7.5
"59","Air Force",2018,"UNLV",97,90,-11.5,-4.5
"60","Air Force",2018,"John. & Wales (Colo.)",68,111,-11.5,-54.5
"61","Air Force",2018,"San Diego State",81,50,-11.5,19.5
"62","Air Force",2018,"Utah State",65,75,-11.5,-21.5
"63","Akron",2018,"USC",84,53,-16,15
"64","Akron",2018,"Ball State",90,77,-16,-3
"65","Akron",2018,"Davidson",91,78,-16,-3
"66","Akron",2018,"Miami (Ohio)",64,62,-16,-14
"67","Akron",2018,"Chattanooga",70,75,-16,-21
"68","Akron",2018,"Dayton",73,60,-16,-3
"69","Akron",2018,"Kent State",65,67,-16,-18
"70","Akron",2018,"Princeton",64,62,-16,-14
"71","Akron",2018,"Marshall",86,64,-16,6
"72","Akron",2018,"Tennessee-Martin",59,76,-16,-33
"73","Akron",2018,"Buffalo",80,68,-16,-4
"74","Akron",2018,"Bowling Green",79,81,-16,-18
"75","Akron",2018,"Miss. Valley St.",63,81,-16,-34
"76","Akron",2018,"Appalachian St.",89,94,-16,-21
"77","Akron",2018,"Eastern Mich.",67,58,-16,-7
"78","Akron",2018,"Ohio",68,71,-16,-19
"79","Akron",2018,"Miami (Ohio)",79,64,-16,-1
"80","Akron",2018,"Ball State",111,106,-16,-11
"81","Akron",2018,"Western Mich.",87,75,-16,-4
"82","Akron",2018,"Ohio",99,75,-16,8
"83","Akron",2018,"Bowling Green",78,80,-16,-18
"84","Akron",2018,"Eastern Mich.",63,49,-16,-2
"85","Akron",2018,"Toledo",67,65,-16,-14
"86","Akron",2018,"IPFW",79,83,-16,-20
"87","Akron",2018,"Cleveland State",57,67,-16,-26
"88","Akron",2018,"Toledo",77,56,-16,5
"89","Akron",2018,"Western Mich.",78,79,-16,-17
"90","Akron",2018,"Buffalo",87,65,-16,6
"91","Akron",2018,"Concord",49,86,-16,-53
"92","Akron",2018,"Cent. Michigan",63,69,-16,-22
"93","Akron",2018,"Kent State",78,68,-16,-6
"94","Akron",2018,"Northern Ill.",67,82,-16,-31
"95","Alabama",2018,"UCF",65,62,-2.5,0.5
"96","Alabama",2018,"Missouri",69,60,-2.5,6.5
"97","Alabama",2018,"Louisiana Tech",74,77,-2.5,-5.5
"98","Alabama",2018,"Memphis",70,82,-2.5,-14.5
"99","Alabama",2018,"Arizona",88,82,-2.5,3.5
"100","Alabama",2018,"Vanderbilt",76,75,-2.5,-1.5
"101","Alabama",2018,"Kentucky",86,63,-2.5,20.5
"102","Alabama",2018,"Auburn",71,76,-2.5,-7.5
"103","Alabama",2018,"Texas",66,50,-2.5,13.5
"104","Alabama",2018,"Georgia",65,46,-2.5,16.5
"105","Alabama",2018,"Minnesota",89,84,-2.5,2.5
"106","Alabama",2018,"BYU",59,71,-2.5,-14.5
"107","Alabama",2018,"Mississippi St.",67,63,-2.5,1.5
"108","Alabama",2018,"Mercer",79,80,-2.5,-3.5
"109","Alabama",2018,"Tennessee",50,78,-2.5,-30.5
"110","Alabama",2018,"Texas-Arlington",76,77,-2.5,-3.5
"111","Alabama",2018,"Auburn",90,71,-2.5,16.5
"112","Alabama",2018,"Mississippi",78,66,-2.5,9.5
"113","Alabama",2018,"Arkansas",76,73,-2.5,0.5
"114","Alabama",2018,"South Carolina",62,76,-2.5,-16.5
"115","Alabama",2018,"Texas A&M",70,71,-2.5,-3.5
"116","Alabama",2018,"Florida",73,52,-2.5,18.5
"117","Alabama",2018,"Auburn",63,81,-2.5,-20.5
"118","Alabama",2018,"Lipscomb",64,86,-2.5,-24.5
"119","Alabama",2018,"LSU",65,80,-2.5,-17.5
"120","Alabama",2018,"Alabama A&M;",67,104,-2.5,-39.5
"121","Alabama",2018,"Florida",50,68,-2.5,-20.5
"122","Alabama",2018,"Texas A&M",68,66,-2.5,-0.5
"123","Alabama",2018,"Rhode Island",64,68,-2.5,-6.5
"124","Alabama",2018,"LSU",66,74,-2.5,-10.5
"125","Alabama",2018,"Texas A&M",57,79,-2.5,-24.5
"126","Alabama",2018,"Oklahoma",73,80,-2.5,-9.5
"127","Alabama",2018,"Kentucky",81,71,-2.5,7.5
"128","Alabama",2018,"Mississippi St.",62,68,-2.5,-8.5
"129","Alabama State",2018,"Alcorn State",81,64,-28.5,-11.5
"130","Alabama State",2018,"Cincinnati",83,51,-28.5,3.5
"131","Alabama State",2018,"Jackson State",82,73,-28.5,-19.5
"132","Alabama State",2018,"Miss. Valley St.",46,63,-28.5,-45.5
"133","Alabama State",2018,"Ark.-Pine Bluff",59,65,-28.5,-34.5
"134","Alabama State",2018,"Southern Univ.",63,61,-28.5,-26.5
"135","Alabama State",2018,"Prairie View A&M;",86,80,-28.5,-22.5
"136","Alabama State",2018,"Texas Southern",97,82,-28.5,-13.5
"137","Alabama State",2018,"Texas Southern",90,76,-28.5,-14.5
"138","Alabama State",2018,"Tennessee State",64,45,-28.5,-9.5
"139","Alabama State",2018,"Southern Univ.",71,67,-28.5,-24.5
"140","Alabama State",2018,"Winthrop",88,80,-28.5,-20.5
"141","Alabama State",2018,"Liberty",87,70,-28.5,-11.5
"142","Alabama State",2018,"Texas Southern",95,77,-28.5,-10.5
"143","Alabama State",2018,"Ark.-Pine Bluff",94,68,-28.5,-2.5
"144","Alabama State",2018,"Mississippi St.",96,68,-28.5,-0.5
"145","Alabama State",2018,"Oregon",114,56,-28.5,29.5
"146","Alabama State",2018,"Savannah State",101,97,-28.5,-24.5
"147","Alabama State",2018,"Grambling",66,64,-28.5,-26.5
"148","Alabama State",2018,"Grambling",66,74,-28.5,-36.5
"149","Alabama State",2018,"Jackson State",60,62,-28.5,-30.5
"150","Alabama State",2018,"Chattanooga",67,50,-28.5,-11.5
"151","Alabama State",2018,"Alcorn State",62,82,-28.5,-48.5
"152","Alabama State",2018,"Jacksonville St.",77,69,-28.5,-20.5
"153","Alabama State",2018,"Louisiana Tech",74,62,-28.5,-16.5
"154","Alabama State",2018,"Prairie View A&M;",80,74,-28.5,-22.5
"155","Alabama State",2018,"Iowa",92,58,-28.5,5.5
"156","Alabama State",2018,"Miss. Valley St.",85,89,-28.5,-32.5
"157","Alabama State",2018,"Alabama A&M;",50,69,-28.5,-47.5
"158","Alabama State",2018,"Alabama A&M;",67,70,-28.5,-31.5
"159","Alabama State",2018,"South Dakota St.",94,63,-28.5,2.5
"160","Albany",2018,"UMBC",68,60,-6,2
"161","Albany",2018,"Hartford",63,69,-6,-12
"162","Albany",2018,"New Hampshire",74,83,-6,-15
"163","Albany",2018,"UMBC",39,83,-6,-50
"164","Albany",2018,"Siena",69,74,-6,-11
"165","Albany",2018,"Mass.-Lowell",62,70,-6,-14
"166","Albany",2018,"Stony Brook",69,60,-6,3
"167","Albany",2018,"Vermont",61,50,-6,5
"168","Albany",2018,"SUNY Oneonta",77,102,-6,-31
"169","Albany",2018,"Kent State",68,78,-6,-16
"170","Albany",2018,"Memphis",67,58,-6,3
"171","Albany",2018,"Louisville",70,68,-6,-4
"172","Albany",2018,"Binghamton",54,71,-6,-23
