year,team1,team1_score,team2,team2_score
2022,"UC San Diego",44,"LMU (CA)",57
2022,Alcorn,67,"Washington St.",85
2022,"Mount St. Mary's",51,Villanova,91
2022,Bethune-Cookman,54,"South Fla.",75
2022,"UC San Diego",80,California,67
2022,"Eastern Mich.",62,Indiana,68
2022,Akron,66,"Ohio St.",67
2022,"Saint Peter's",54,VCU,57
2022,"Southern Ill.",66,"Little Rock",69
2022,"Central Conn. St.",48,UConn,99
2022,IUPUI,47,Butler,56
2022,"N.C. A&T",53,"UNC Greensboro",57
2022,"Stony Brook",52,"George Mason",74
2022,"App State",53,Iona,65
2022,Oakland,53,"West Virginia",60
2022,Fairfield,73,Providence,80
2022,"N.C. Central",60,Richmond,70
2022,Presbyterian,53,Clemson,64
2022,Siena,47,"St. Bonaventure",75
2022,Evansville,43,Cincinnati,65
2022,Hartford,59,Wagner,77
2022,Quinnipiac,69,Maryland,83
2022,Rider,61,Duquesne,73
2022,"South Carolina St.",62,"East Carolina",70
2022,UIC,54,Dayton,64
2022,Monmouth,66,Charlotte,68
2022,"The Citadel",78,Pittsburgh,63
2022,Bellarmine,67,Purdue,96
2022,"Loyola Maryland",67,"North Carolina",83
2022,"Ball St.",71,"Ga. Southern",82
2022,Towson,77,UAlbany,56
2022,"Boston U.",62,"Rhode Island",71
2022,Northeastern,58,Colgate,65
2022,Lafayette,63,Syracuse,97
2022,FIU,51,Georgia,58
2022,Portland,60,"Arizona St.",76
2022,"UT Martin",62,Tennessee,90
2022,Belmont,80,Ohio,92
2022,Toledo,69,Valparaiso,61
2022,"Texas Southern",66,Oregon,83
2022,Kansas,87,"Michigan St.",74
2022,"USC Upstate",60,"South Carolina",78
2022,Delaware,71,Davidson,93
2022,"Texas St.",75,UIW,57
2022,Niagara,60,Xavier,63
2022,Cornell,76,Binghamton,69
2022,"UNC Asheville",77,UAB,102
2022,UMBC,60,Massachusetts,77
2022,"Bowling Green",71,"Western Caro.",79
2022,Canisius,67,"Miami (FL)",77
2022,"Miami (OH)",72,"Georgia Tech",69
2022,"New Orleans",61,"Ole Miss",82
2022,"Mississippi Val.",61,"St. John's (NY)",119
2022,McNeese,62,SMU,86
2022,"Ark.-Pine Bluff",77,Creighton,90
2022,Pepperdine,63,Rice,82
2022,"Kennesaw St.",73,"Iowa St.",84
2022,"Morehead St.",54,Auburn,77
2022,ULM,39,LSU,101
2022,"Indiana St.",81,"Green Bay",77
2022,"Southeastern La.",67,Tulane,70
2022,Milwaukee,75,"North Dakota",60
2022,Bucknell,70,"NC State",88
2022,Marist,73,American,77
2022,"Southeast Mo. St.",99,"Missouri St.",94
2022,"Sacred Heart",86,"La Salle",81
2022,"St. Thomas (MN)",72,"Chicago St.",77
2022,Maine,47,"Virginia Tech",82
2022,UNCW,63,"Illinois St.",68
2022,Nicholls,62,UNI,58
2022,"St. Francis Brooklyn",58,Wisconsin,81
2022,Mercer,61,Arkansas,74
