year,team,conference,logo
2023,"A&M-Corpus Christi",Southland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/am-corpus-chris.svg
2023,"Abilene Christian",WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/abilene-christian.svg
2023,"Air Force","Mountain West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/air-force.svg
2023,Akron,MAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/akron.svg
2023,Alabama,SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg
2023,"Alabama A&M",SWAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-am.svg
2023,"Alabama St.",SWAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-st.svg
2023,Alcorn,SWAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alcorn.svg
2023,American,Patriot,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/american.svg
2023,"App State","Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/appalachian-st.svg
2023,Arizona,Pac-12,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona.svg
2023,"Arizona St.",Pac-12,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg
2023,"Ark.-Pine Bluff",SWAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ark-pine-bluff.svg
2023,Arkansas,SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg
2023,"Arkansas St.","Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas-st.svg
2023,"Army West Point",Patriot,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/army.svg
2023,Auburn,SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/auburn.svg
2023,"Austin Peay",ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/austin-peay.svg
2023,"Ball St.",MAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ball-st.svg
2023,Baylor,"Big 12",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg
2023,Bellarmine,ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bellarmine.svg
2023,Belmont,MVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/belmont.svg
2023,Bethune-Cookman,SWAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bethune-cookman.svg
2023,Binghamton,"America East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg
2023,"Boise St.","Mountain West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boise-st.svg
2023,"Boston College",ACC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-college.svg
2023,"Boston U.",Patriot,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-u.svg
2023,"Bowling Green",MAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowling-green.svg
2023,Bradley,MVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bradley.svg
2023,Brown,"Ivy League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brown.svg
2023,Bryant,"America East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bryant.svg
2023,Bucknell,Patriot,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bucknell.svg
2023,Buffalo,MAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/buffalo.svg
2023,Butler,"Big East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/butler.svg
2023,BYU,WCC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/byu.svg
2023,"Cal Poly","Big West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-poly.svg
2023,"Cal St. Fullerton","Big West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-fullerton.svg
2023,California,Pac-12,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california.svg
2023,"California Baptist",WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california-baptist.svg
2023,Campbell,"Big South",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/campbell.svg
2023,Canisius,MAAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/canisius.svg
2023,"Central Ark.",ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-ark.svg
2023,"Central Conn. St.",NEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-conn-st.svg
2023,"Central Mich.",MAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-mich.svg
2023,"Charleston So.","Big South",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/charleston-so.svg
2023,Charlotte,C-USA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/charlotte.svg
2023,Chattanooga,SoCon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/chattanooga.svg
