,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
0,2023-11-06,Spalding,63,IUPUI,70,IUPUI,-3.1484375,-7,-5.1484375
1,2023-11-06,St. Joseph's (L.I.),48,Hofstra,101,Hofstra,25.625,-53,-22.375
2,2023-11-06,Fort Lauderdale,47,Troy,92,Troy,12.75,-45,-27.25
3,2023-11-06,North American,68,SFA,96,SFA,15.65625,-28,-7.34375
4,2023-11-06,Kansas Christian,66,Prairie View,89,Prairie View,6.25,-23,-11.75
5,2023-11-06,Georgia,71,Oregon,82,Oregon,29.0,-11,23.0
6,2023-11-06,Linfield,46,Oregon St.,82,Oregon St.,13.65625,-36,-17.34375
7,2023-11-06,John Jay,57,Penn,102,Penn,17.6171875,-45,-22.3828125
8,2023-11-06,Rivier,51,UMass Lowell,96,UMass Lowell,17.8125,-45,-22.1875
9,2023-11-06,Tennessee Tech,42,Tennessee,80,Tennessee,37.2890625,-38,4.2890625
10,2023-11-06,Northern Ariz.,52,UConn,95,UConn,38.5,-43,0.5
11,2023-11-06,Samford,45,Purdue,98,Purdue,41.328125,-53,-6.671875
12,2023-11-06,NJIT,60,Miami (FL),101,Miami (FL),32.2109375,-41,-3.7890625
13,2023-11-06,St. Mary-Woods,60,Indiana St.,90,Indiana St.,31.171875,-30,6.171875
14,2023-11-06,Maine,52,Charlotte,69,Charlotte,21.75,-17,9.75
15,2023-11-06,Va. Wesleyan,57,Old Dominion,71,Old Dominion,11.2578125,-14,2.2578125
16,2023-11-06,Immaculata,67,Rider,113,Rider,9.3203125,-46,-31.6796875
17,2023-11-06,Winthrop,56,Clemson,78,Clemson,36.484375,-22,19.484375
18,2023-11-06,Radford,70,North Carolina,86,North Carolina,34.734375,-16,23.734375
19,2023-11-06,Monmouth,61,George Mason,72,George Mason,24.78125,-11,18.78125
20,2023-11-06,Brown,70,Colgate,72,Colgate,18.5234375,-2,21.5234375
21,2023-11-06,Niagara,63,Notre Dame,70,Notre Dame,19.328125,-7,17.328125
22,2023-11-06,N.C. A&T,52,Pittsburgh,100,Pittsburgh,35.9375,-48,-7.0625
23,2023-11-06,Piedmont,86,Coastal Carolina,88,Coastal Carolina,7.375,-2,10.375
24,2023-11-06,Longwood,69,St. Bonaventure,73,St. Bonaventure,23.3125,-4,24.3125
25,2023-11-06,Vassar,53,Yale,102,Yale,21.6796875,-49,-22.3203125
26,2023-11-06,VMI,75,Richmond,93,Richmond,23.6875,-18,10.6875
27,2023-11-06,Erskine,58,Gardner-Webb,98,Gardner-Webb,14.1328125,-40,-20.8671875
28,2023-11-06,Mount Olive,66,UNCW,105,UNCW,13.5,-39,-20.5
29,2023-11-06,New Hampshire,72,Syracuse,83,Syracuse,28.875,-11,22.875
30,2023-11-06,Detroit Mercy,60,Toledo,94,Toledo,21.765625,-34,-7.234375
31,2023-11-06,UMBC,93,Louisville,94,Louisville,13.015625,-1,17.015625
32,2023-11-06,Wash. & Lee,63,Davidson,86,Davidson,23.0,-23,5.0
33,2023-11-06,Penn St.-Wilkes Barre,55,Norfolk St.,102,Norfolk St.,13.96875,-47,-28.03125
34,2023-11-06,Hampton,80,Howard,92,Howard,11.875,-12,4.875
35,2023-11-06,Sarah Lawrence,51,Sacred Heart,95,Sacred Heart,11.96875,-44,-27.03125
36,2023-11-06,Central Conn. St.,70,Rhode Island,81,Rhode Island,15.484375,-11,9.484375
37,2023-11-06,King (TN),56,ETSU,73,ETSU,17.0,-17,5.0
38,2023-11-06,Toccoa Falls,59,Charleston So.,94,Charleston So.,1.21875,-35,-28.78125
39,2023-11-06,Delaware St.,45,Penn St.,79,Penn St.,19.25,-34,-9.75
40,2023-11-06,Trinity Baptist,54,Stetson,109,Stetson,14.75,-55,-35.25
41,2023-11-06,Columbia,59,Providence,78,Providence,27.921875,-19,13.921875
42,2023-11-06,Johnson (FL),46,Jacksonville,113,Jacksonville,9.40625,-67,-52.59375
43,2023-11-06,Ferrum,61,East Carolina,91,East Carolina,15.6875,-30,-9.3125
44,2023-11-06,Delaware,78,Bucknell,57,Bucknell,8.0,21,34.0
45,2023-11-06,Iona,69,Col. of Charleston,71,Col. of Charleston,20.703125,-2,23.703125
46,2023-11-06,Queens (NC),73,Marshall,89,Marshall,16.0,-16,5.0
47,2023-11-06,SIUE,47,Dayton,63,Dayton,29.375,-16,18.375
48,2023-11-06,Cleveland St.,77,Duquesne,79,Duquesne,22.75,-2,25.75
49,2023-11-06,Chicago St.,41,Bowling Green,70,Bowling Green,15.625,-29,-8.375
50,2023-11-06,USC Upstate,53,South Carolina,82,South Carolina,28.0,-29,4.0
51,2023-11-06,Voorhees,57,South Carolina St.,65,South Carolina St.,5.6875,-8,2.6875
52,2023-11-06,Clark Atlanta,71,Mercer,64,Mercer,15.109375,7,27.109375
53,2023-11-06,Lafayette,60,Saint Joseph's,81,Saint Joseph's,27.9375,-21,11.9375
54,2023-11-06,Carroll (MT),73,Utah Valley,81,Utah Valley,9.0,-8,6.0
55,2023-11-06,Delta St.,71,Southeastern La.,90,Southeastern La.,4.0625,-19,-9.9375
56,2023-11-06,The Citadel,59,NC State,72,NC State,30.03125,-13,22.03125
57,2023-11-06,Champion Chris.,76,UT Martin,104,UT Martin,14.2109375,-28,-8.7890625
58,2023-11-06,Tarleton St.,50,Virginia,80,Virginia,36.3125,-30,11.3125
59,2023-11-06,Oakland,73,Ohio St.,79,Ohio St.,29.0,-6,28.0
60,2023-11-06,Covenant,44,Chattanooga,89,Chattanooga,14.75,-45,-25.25
61,2023-11-06,UMass Boston,50,Harvard,78,Harvard,16.9375,-28,-6.0625
62,2023-11-06,Brevard,68,Wofford,85,Wofford,17.4453125,-17,5.4453125
63,2023-11-06,Missouri St.,59,West Virginia,67,West Virginia,22.625,-8,19.625
64,2023-11-06,North Dakota St.,80,Western Mich.,76,Western Mich.,6.4375,4,15.4375
65,2023-11-06,Holy Cross,71,Siena,73,Siena,-3.125,-2,-0.125
66,2023-11-06,St. Andrews,51,High Point,105,High Point,17.875,-54,-31.125
67,2023-11-06,North Greenville,68,Furman,84,Furman,15.3203125,-16,4.3203125
68,2023-11-06,Coastal Ga.,55,North Florida,92,North Florida,7.90625,-37,-24.09375
69,2023-11-06,Mid-Atlantic Christ.,43,Liberty,103,Liberty,28.1640625,-60,-26.8359375
70,2023-11-06,McNeese,76,VCU,65,VCU,26.5,11,42.5
71,2023-11-06,Malone,58,Kent St.,79,Kent St.,20.171875,-21,4.171875
72,2023-11-06,Princeton,68,Rutgers,61,Rutgers,23.296875,7,35.296875
73,2023-11-06,Ga. Southern,62,Georgia Tech,84,Georgia Tech,22.625,-22,5.625
74,2023-11-06,UMES,65,Temple,85,Temple,19.8125,-20,4.8125
