Team,Score
Georgia,27.14453125
Tennessee Tech,9.375
Northern Ariz.,10.0
Samford,28.0
NJIT,9.0
Maine,17.0703125
Winthrop,18.28125
Radford,15.796875
Monmouth,19.193359375
Brown,18.552734375
Niagara,15.0703125
N.C. A&T,7.220703125
Longwood,21.4599609375
VMI,3.90625
New Hampshire,19.1396484375
Detroit Mercy,5.26953125
UMBC,15.625
Hampton,8.2265625
Central Conn. St.,15.6875
Delaware St.,9.94921875
Columbia,15.15625
Delaware,21.0625
Iona,16.75
Queens (NC),14.1875
SIUE,12.37890625
Cleveland St.,18.42578125
Chicago St.,12.3125
USC Upstate,11.5
Lafayette,9.890625
The Citadel,16.078125
Champion Chris.,-32.265625
Tarleton St.,24.0
Oakland,24.6875
Missouri St.,21.4375
North Dakota St.,13.126953125
Holy Cross,3.00390625
McNeese,28.4375
Princeton,27.84375
Ga. Southern,12.5
UMES,5.50390625
Merrimack,16.125
Cornell,26.2265625
Manhattan,8.96875
FDU,9.298828125
Saint Peter's,19.78125
American,13.78515625
Towson,23.0
Lipscomb,21.75
Georgia St.,17.4375
Wagner,12.1484375
Oral Roberts,14.626953125
Texas St.,19.4375
Central Ark.,4.4921875
Western Ill.,14.71875
Mississippi Val.,-4.5
Boston U.,9.751953125
Stonehill,4.1875
Robert Morris,13.93359375
Coppin St.,0.4375
Eastern Mich.,8.90625
Lindenwood,5.890625
Fairfield,20.169921875
Navy,10.099609375
Marist,19.0
Eastern Ill.,11.77734375
Southern Ind.,11.09375
Bethune-Cookman,9.84375
Binghamton,14.998046875
Alabama St.,9.625
Alcorn,13.0625
Midway,-10.80078125
Bradley,28.384765625
Jackson St.,9.7109375
Morehead St.,25.27734375
Loyola Maryland,5.1640625
ULM,12.65625
FIU,13.919921875
Miami (OH),13.8642578125
Green Bay,20.443359375
New Mexico St.,12.673828125
Ark.-Pine Bluff,5.5234375
Elon,11.5625
Central Mich.,15.240234375
UIW,6.4375
Tex. A&M-Commerce,7.4140625
N.C. Central,15.5283203125
Arkansas St.,21.46875
Youngstown St.,22.947265625
Northern Ky.,18.625
NIU,10.609375
James Madison,29.4375
Dartmouth,7.0703125
Abilene Christian,18.5625
Southern U.,13.0234375
UIC,18.2392578125
Southeast Mo. St.,4.6328125
Nicholls,15.0
St. Thomas (MN),21.09765625
Houston Christian,5.6171875
Akron,22.474609375
Texas Southern,13.50390625
Eastern Wash.,19.890625
Portland St.,18.33984375
Morgan St.,8.177734375
Bethesda (CA),-28.8017578125
Kansas St.,29.703125
Louisiana Tech,25.0
Southern Utah,16.07421875
Sam Houston,22.376953125
Cal St. Fullerton,15.9921875
Long Beach St.,19.99609375
Denver,16.599609375
Idaho,11.2685546875
CSUN,18.93359375
Saint Francis (PA),5.0849609375
Bellarmine,7.703125
Drexel,22.25
FGCU,16.4375
Stony Brook,20.53125
UAlbany,12.78125
Le Moyne,10.1484375
Mount St. Mary's,13.884765625
Presbyterian,13.5888671875
UNI,24.8603515625
North Dakota,12.75
UNC Asheville,19.5458984375
Purdue Fort Wayne,22.05859375
Florida A&M,4.6875
Auburn,41.328125
Sacramento St.,13.41015625
UC Irvine,26.05859375
Troy,21.125
Canisius,15.287109375
Bucknell,12.0625
Fla. Atlantic,31.359375
Arizona St.,21.681640625
Utah Tech,15.28125
Prairie View,5.0625
Pepperdine,13.5234375
Northwestern St.,8.490234375
North Florida,15.625
ETSU,19.0
Army West Point,8.173828125
South Carolina St.,10.380859375
Virginia-Lynchburg,-35.33203125
Utah Valley,18.537109375
Western Ky.,22.708984375
Howard,14.5390625
Omaha,13.833984375
SFA,18
Alabama A&M,8.75
Lamar University,16.2734375
Mercer,19.55859375
CSU Bakersfield,15.810546875
Cal Poly,8.75
New Mexico,34.03125
Air Force,13.2578125
Liberty,23.49609375
Kennesaw St.,14.9609375
UMass Lowell,19.7158203125
Col. of Charleston,27.33203125
Penn,15.9765625
Jacksonville,11.98046875
Chattanooga,20.6328125
Austin Peay,16.4375
UCF,31.228515625
Arizona,41.0625
Texas A&M,32.15625
Virginia,33.56640625
Maryland,28.78125
Marshall,15.640625
Boston College,27.06640625
Sacred Heart,12.453125
Southern Miss.,16.71875
Wake Forest,32.0625
Belmont,23.00390625
UTSA,15.0078125
Lehigh,13.392578125
UTRGV,8
Harvard,15.484375
Indiana St.,33.50390625
Grambling,13.0
Gardner-Webb,20.080078125
Southeastern La.,12.2734375
Dayton,31.4375
Rider,16.59375
Temple,18.798828125
Little Rock,17.3203125
Idaho St.,13.21875
Memphis,25.38671875
IUPUI,0.75
Wright St.,18.916015625
Tennessee,42.021484375
Montana,23.078125
San Diego St.,30.14453125
Yale,26.384765625
Clemson,37.0703125
Virginia Tech,29.275390625
UC Riverside,16.4921875
Pacific,3.46484375
High Point,21.9970703125
William & Mary,12.1591796875
A&M-Corpus Christi,20.5625
