,book,team1,highest_ev,team1_ev,team1_p,team1_spread,team1_book_odds,team2,team2_ev,team2_p,team2_spread,team2_book_odds,away_fuzzy_match,home_fuzzy_match
7,fanduel,TCU,134.16149068322983,134.16149068322983,0.18012422360248448,16.3076171875,1200,Iowa St.,-15.279503105590061,0.8198757763975155,-16.3076171875,-3000,TCU Horned Frogs,Iowa State Cyclones
8,draftkings,TCU,98.13664596273293,98.13664596273293,0.18012422360248448,16.3076171875,1000,Iowa St.,-13.457556935817806,0.8198757763975155,-16.3076171875,-1800,TCU Horned Frogs,Iowa State Cyclones
162,fanduel,Tarleton St.,82.63636363636364,82.63636363636364,0.18636363636363637,14.30712890625,880,Utah Valley,-14.11616161616162,0.8136363636363636,-14.30712890625,-1800,Tarleton State Texans,Utah Valley Wolverines
256,fanduel,Gonzaga,81.25,-5.3125,0.9375,-24.65625,-10000,Pacific,81.25,0.0625,24.65625,2800,Gonzaga Bulldogs,Pacific Tigers
234,fanduel,CSUN,73.11688311688312,-18.912337662337666,0.7207792207792207,-9.86181640625,-800,Long Beach St.,73.11688311688312,0.2792207792207792,9.86181640625,520,CSU Northridge Matadors,Long Beach St 49ers
17,fanduel,Youngstown St.,70.5989110707804,-28.31215970961887,0.573502722323049,-3.15625,-400,Detroit Mercy,70.5989110707804,0.426497277676951,3.15625,300,Youngstown St Penguins,Detroit Mercy Titans
250,fanduel,San Diego,67.44574290484141,67.44574290484141,0.09849749582637729,23.7421875,1600,Santa Clara,-7.846410684474129,0.9015025041736227,-23.7421875,-4500,San Diego Toreros,Santa Clara Broncos
251,draftkings,San Diego,67.44574290484141,67.44574290484141,0.09849749582637729,23.7421875,1600,Santa Clara,-7.595993322203678,0.9015025041736227,-23.7421875,-4000,San Diego Toreros,Santa Clara Broncos
159,fanduel,Penn St.,66.98292220113852,66.98292220113852,0.3036053130929791,8.6259765625,450,UCLA,-19.30664739013885,0.6963946869070209,-8.6259765625,-630,Penn State Nittany Lions,UCLA Bruins
88,draftkings,Miami (FL),66.33663366336633,66.33663366336633,0.11089108910891089,21.9921875,1400,Louisville,-8.310643564356434,0.8891089108910891,-21.9921875,-3200,Miami Hurricanes,Louisville Cardinals
160,draftkings,Penn St.,63.946869070208734,63.946869070208734,0.3036053130929791,8.6259765625,440,UCLA,-18.753953194180898,0.6963946869070209,-8.6259765625,-600,Penn State Nittany Lions,UCLA Bruins
18,draftkings,Youngstown St.,59.93647912885662,-26.026460453983532,0.573502722323049,-3.15625,-345,Detroit Mercy,59.93647912885662,0.426497277676951,3.15625,275,Youngstown St Penguins,Detroit Mercy Titans
233,draftkings,CSUN,59.155844155844164,-16.833166833166835,0.7207792207792207,-9.86181640625,-650,Long Beach St.,59.155844155844164,0.2792207792207792,9.86181640625,470,CSU Northridge Matadors,Long Beach St 49ers
161,draftkings,Tarleton St.,58.40909090909092,58.40909090909092,0.18636363636363637,14.30712890625,750,Utah Valley,-11.85606060606061,0.8136363636363636,-14.30712890625,-1200,Tarleton State Texans,Utah Valley Wolverines
87,fanduel,Miami (FL),53.02970297029704,53.02970297029704,0.11089108910891089,21.9921875,1280,Louisville,-8.548797736916548,0.8891089108910891,-21.9921875,-3500,Miami Hurricanes,Louisville Cardinals
214,fanduel,Florida A&M,44.73684210526315,44.73684210526315,0.3216374269005848,5.5458984375,350,Texas Southern,-18.031189083820667,0.6783625730994152,-5.5458984375,-480,Florida A&M Rattlers,Texas Southern Tigers
213,draftkings,Florida A&M,41.52046783625731,41.52046783625731,0.3216374269005848,5.5458984375,340,Texas Southern,-16.746411483253596,0.6783625730994152,-5.5458984375,-440,Florida A&M Rattlers,Texas Southern Tigers
26,draftkings,Wisconsin,40.444664031620555,-24.466403162055336,0.5395256916996047,-1.625,-250,Iowa,40.444664031620555,0.46047430830039526,1.625,205,Wisconsin Badgers,Iowa Hawkeyes
269,fanduel,Abilene Christian,38.620000000000005,-34.904320987654316,0.4025,4.1796875,-162,Southern Utah,38.620000000000005,0.5975,-4.1796875,132,Abilene Christian Wildcats,Southern Utah Thunderbirds
268,draftkings,Abilene Christian,37.425,-33.78225806451612,0.4025,4.1796875,-155,Southern Utah,37.425,0.5975,-4.1796875,130,Abilene Christian Wildcats,Southern Utah Thunderbirds
289,draftkings,Saint Mary's (CA),35.9090909090909,-27.414772727272727,0.4772727272727273,0.984375,-192,Oregon St.,35.9090909090909,0.5227272727272727,-0.984375,160,Saint Mary's Gaels,Oregon St Beavers
275,fanduel,UC Davis,35.16233766233766,-20.170454545454547,0.6082251082251082,-4.0234375,-320,Cal St. Fullerton,35.16233766233766,0.3917748917748918,4.0234375,245,UC Davis Aggies,CSU Fullerton Titans
55,draftkings,Bryant,35.0865800865801,-16.652236652236645,0.658008658008658,-4.962890625,-375,Binghamton,35.0865800865801,0.341991341991342,4.962890625,295,Bryant Bulldogs,Binghamton Bearcats
5,draftkings,Oregon,33.96039603960398,33.96039603960398,0.32673267326732675,6.765625,310,Michigan St.,-15.628524877804232,0.6732673267326733,-6.765625,-395,Oregon Ducks,Michigan St Spartans
274,draftkings,UC Davis,33.2034632034632,-18.767250646445277,0.6082251082251082,-4.0234375,-298,Cal St. Fullerton,33.2034632034632,0.3917748917748918,4.0234375,240,UC Davis Aggies,CSU Fullerton Titans
139,draftkings,Eastern Ky.,32.68595041322314,-16.584216040041902,0.6508264462809917,-5.689453125,-355,Stetson,32.68595041322314,0.34917355371900827,5.689453125,280,Eastern Kentucky Colonels,Stetson Hatters
25,fanduel,Wisconsin,32.616600790513836,-22.58979206049149,0.5395256916996047,-1.625,-230,Iowa,32.616600790513836,0.46047430830039526,1.625,188,Wisconsin Badgers,Iowa Hawkeyes
146,draftkings,Stony Brook,32.065217391304344,32.065217391304344,0.1956521739130435,14.1923828125,575,Hofstra,-10.102301790281327,0.8043478260869565,-14.1923828125,-850,Stony Brook Seawolves,Hofstra Pride
257,draftkings,Gonzaga,31.25,-4.8076923076923075,0.9375,-24.65625,-6500,Pacific,31.25,0.0625,24.65625,2000,Gonzaga Bulldogs,Pacific Tigers
145,fanduel,Stony Brook,31.086956521739125,31.086956521739125,0.1956521739130435,14.1923828125,570,Hofstra,-10.628019323671493,0.8043478260869565,-14.1923828125,-900,Stony Brook Seawolves,Hofstra Pride
288,fanduel,Saint Mary's (CA),30.68181818181818,-26.048951048951047,0.4772727272727273,0.984375,-182,Oregon St.,30.68181818181818,0.5227272727272727,-0.984375,150,Saint Mary's Gaels,Oregon St Beavers
