,odds_date,odds_away_team,odds_away_team_odds,odds_home_team,odds_home_team_odds,odds_bet_team,odds_bet_odds
0,2025-01-01,Miami (FL),-142,Boston College,118,Boston College,118
1,2025-01-01,VMI,1100,,-2500,VMI,1100
2,2025-01-01,Purdue Fort Wayne,100,Northern Ky.,-120,Northern Ky.,-120
3,2025-01-01,Youngstown St.,-245,IU Indy,198,IU Indy,198
4,2025-01-01,UNC Greensboro,112,Wofford,-134,UNC Greensboro,112
5,2025-01-01,Furman,-490,Western Caro.,365,Furman,-490
6,2025-01-01,Howard,720,Yale,-1200,Yale,-1200
7,2025-01-01,California,800,Pittsburgh,-1400,Pittsburgh,-1400
8,2025-01-01,UConn,-820,DePaul,550,UConn,-820
9,2025-01-01,Evansville,340,Southern Ill.,-450,Southern Ill.,-450
10,2025-01-01,Chattanooga,-140,Mercer,116,Mercer,116
11,2025-01-01,Drake,-265,UIC,215,UIC,215
12,2025-01-01,Rice,116,Tulsa,-140,Tulsa,-140
13,2025-01-01,Stanford,440,Clemson,-610,Clemson,-610
14,2025-01-01,North Carolina,-110,Louisville,-110,North Carolina,-110
15,2025-01-01,Villanova,-134,Butler,112,Butler,112
16,2025-01-01,Bradley,-152,Indiana St.,126,Bradley,-152
17,2025-01-01,The Citadel,1600,Samford,-4500,The Citadel,1600
18,2025-01-01,Valparaiso,152,Missouri St.,-184,Valparaiso,152
19,2025-01-01,Belmont,215,UNI,-265,Belmont,215
20,2025-01-02,Gardner-Webb,-106,Charleston So.,-113,Charleston So.,-113
21,2025-01-02,Austin Peay,280,North Florida,-360,North Florida,-360
22,2025-01-02,Longwood,-132,Presbyterian,110,Longwood,-132
23,2025-01-02,USC Upstate,810,Winthrop,-1450,Winthrop,-1450
24,2025-01-02,Loyola Maryland,118,Holy Cross,-142,Holy Cross,-142
25,2025-01-02,Troy,-134,App State,112,App State,112
26,2025-01-02,American,-170,Navy,138,Navy,138
27,2025-01-02,Arkansas St.,-590,Old Dominion,410,Arkansas St.,-590
28,2025-01-02,Army West Point,194,Colgate,-245,Army West Point,194
29,2025-01-02,Bellarmine,610,North Ala.,-1000,North Ala.,-1000
30,2025-01-02,Boston U.,-112,Lafayette,-108,Boston U.,-112
31,2025-01-02,Drexel,-215,Campbell,172,Campbell,172
32,2025-01-02,Hampton,360,Col. of Charleston,-500,Col. of Charleston,-500
33,2025-01-02,Louisiana,114,Coastal Carolina,-140,Coastal Carolina,-140
34,2025-01-02,Delaware,190,Northeastern,-240,Northeastern,-240
35,2025-01-02,Robert Morris,-215,Detroit Mercy,172,Detroit Mercy,172
36,2025-01-02,Elon,-280,N.C. A&T,220,Elon,-280
37,2025-01-02,Memphis,-166,Fla. Atlantic,138,Memphis,-166
38,2025-01-02,FGCU,-385,West Ga.,290,FGCU,-385
39,2025-01-02,Middle Tenn.,-192,,154,,154
40,2025-01-02,ULM,390,Ga. Southern,-550,Ga. Southern,-550
41,2025-01-02,South Alabama,-265,Georgia St.,210,Georgia St.,210
42,2025-01-02,Green Bay,520,Wright St.,-800,Wright St.,-800
43,2025-01-02,Radford,270,High Point,-355,High Point,-355
44,2025-01-02,William & Mary,205,Hofstra,-260,Hofstra,-260
45,2025-01-02,Lipscomb,-235,Jacksonville,186,Jacksonville,186
46,2025-01-02,Southern Miss.,590,James Madison,-950,Southern Miss.,590
47,2025-01-02,Western Ky.,310,Liberty,-400,Liberty,-400
48,2025-01-02,Texas St.,-110,Marshall,-110,Texas St.,-110
49,2025-01-02,Milwaukee,-111,Oakland,-108,Oakland,-108
50,2025-01-02,Stony Brook,240,Monmouth,-310,Stony Brook,240
51,2025-01-02,Northwestern,188,Penn St.,-230,Northwestern,188
52,2025-01-02,Stetson,270,Queens (NC),-355,Stetson,270
53,2025-01-02,Towson,210,UNCW,-265,Towson,210
54,2025-01-02,Bucknell,136,Lehigh,-168,Bucknell,136
55,2025-01-02,UC Irvine,-385,Cal Poly,290,UC Irvine,-385
56,2025-01-02,Idaho St.,118,Northern Ariz.,-144,Idaho St.,118
57,2025-01-02,Illinois St.,205,Murray St.,-255,Murray St.,-255
58,2025-01-02,Purdue,-280,Minnesota,225,Minnesota,225
59,2025-01-02,Weber St.,235,Northern Colo.,-300,Northern Colo.,-300
60,2025-01-02,Omaha,154,North Dakota,-192,Omaha,154
61,2025-01-02,St. Thomas (MN),120,North Dakota St.,-148,St. Thomas (MN),120
62,2025-01-02,South Dakota,140,Kansas City,-172,South Dakota,140
63,2025-01-02,Little Rock,-102,UT Martin,-120,Little Rock,-102
64,2025-01-02,Eastern Ky.,-176,Central Ark.,142,Eastern Ky.,-176
65,2025-01-02,Lindenwood,136,Eastern Ill.,-168,Eastern Ill.,-168
66,2025-01-02,Rutgers,168,Indiana,-205,Indiana,-205
67,2025-01-02,Southeastern Mo. St.,136,Tennessee St.,-168,Southeastern Mo. St.,136
68,2025-01-02,Southern Ind.,136,Tennessee Tech,-168,Southern Ind.,136
69,2025-01-02,Denver,920,South Dakota St.,-1800,Denver,920
70,2025-01-02,Montana,-110,Eastern Wash.,-110,Montana,-110
71,2025-01-02,Montana St.,-110,Idaho,-110,Montana St.,-110
72,2025-01-02,Louisiana Tech,105,UTEP,-126,UTEP,-126
73,2025-01-02,Sam Houston,105,New Mexico St.,-126,Sam Houston,105
74,2025-01-02,Western Ill.,310,SIUE,-420,SIUE,-420
75,2025-01-02,UC Davis,104,CSU Bakersfield,-128,UC Davis,104
76,2025-01-02,Maryland,-280,Washington,225,Washington,225
77,2025-01-02,CSUN,-220,Cal St. Fullerton,176,CSUN,-220
78,2025-01-02,Illinois,158,Oregon,-192,Illinois,158
79,2025-01-02,UC Riverside,-205,Long Beach St.,164,Long Beach St.,164
80,2025-01-02,Oregon St.,-196,LMU (CA),162,Oregon St.,-196
81,2025-01-02,San Francisco,-1400,Pacific,800,San Francisco,-1400
82,2025-01-02,Pepperdine,1160,Saint Mary's (CA),-2800,Saint Mary's (CA),-2800
83,2025-01-02,Santa Clara,-1200,San Diego,720,Santa Clara,-1200
84,2025-01-02,UC Santa Barbara,112,Hawaii,-134,UC Santa Barbara,112
85,2025-01-03,Fairfield,280,Merrimack,-350,Merrimack,-350
86,2025-01-03,Akron,-230,Bowling Green,188,Bowling Green,188
87,2025-01-03,Central Conn. St.,-240,Saint Francis,195,Central Conn. St.,-240
88,2025-01-03,Chicago St.,400,Wagner,-550,Wagner,-550
89,2025-01-03,Marist,105,Iona,-126,Marist,105
90,2025-01-03,Iowa,184,Wisconsin,-225,Iowa,184
91,2025-01-03,Le Moyne,130,LIU,-156,Le Moyne,130
92,2025-01-03,Manhattan,136,Siena,-164,Manhattan,136
93,2025-01-03,Quinnipiac,130,Saint Peter's,-156,Saint Peter's,-156
94,2025-01-03,Wichita St.,-106,Temple,-113,Temple,-113
95,2025-01-03,Stonehill,-142,Mercyhurst,118,Mercyhurst,118
96,2025-01-03,Xavier,-110,Georgetown,-110,Georgetown,-110
97,2025-01-03,Michigan St.,-105,Ohio St.,-114,Ohio St.,-114
98,2025-01-03,Creighton,330,Marquette,-430,Creighton,330
99,2025-01-03,Saint Joseph's,108,Saint Louis,-130,Saint Louis,-130
100,2025-01-03,Nevada,205,New Mexico,-255,New Mexico,-255
101,2025-01-03,Florida,-104,Kentucky,-115,Florida,-104
102,2025-01-04,Florida,136,Kentucky,-164,Florida,136
103,2025-01-04,Boston College,245,Georgia Tech,-310,Georgia Tech,-310
104,2025-01-04,Dayton,-400,George Washington,310,Dayton,-400
105,2025-01-04,DePaul,340,Villanova,-450,Villanova,-450
106,2025-01-04,Georgia,160,Ole Miss,-194,Georgia,160
107,2025-01-04,Hofstra,122,Northeastern,-150,Hofstra,122
108,2025-01-04,Richmond,198,Massachusetts,-250,Richmond,198
109,2025-01-04,NC State,190,Wake Forest,-235,Wake Forest,-235
110,2025-01-04,North Carolina,-194,Notre Dame,160,Notre Dame,160
111,2025-01-04,Oklahoma St.,340,West Virginia,-450,Oklahoma St.,340
112,2025-01-04,William & Mary,-230,Stony Brook,184,William & Mary,-230
113,2025-01-04,Toledo,-148,Western Mich.,120,Toledo,-148
114,2025-01-04,Texas St.,-104,App State,-118,App State,-118
115,2025-01-04,Arkansas,520,Tennessee,-750,Tennessee,-750
116,2025-01-04,Buffalo,570,Miami (OH),-900,Buffalo,570
117,2025-01-04,Chattanooga,-900,The Citadel,570,The Citadel,570
118,2025-01-04,Milwaukee,-430,Detroit Mercy,320,Detroit Mercy,320
119,2025-01-04,FGCU,-164,Queens (NC),134,Queens (NC),134
120,2025-01-04,Green Bay,650,Northern Ky.,-1200,Green Bay,650
121,2025-01-04,Vermont,-500,New Hampshire,360,Vermont,-500
122,2025-01-04,BYU,420,Houston,-580,Houston,-580
123,2025-01-04,Ball St.,490,Kent St.,-710,Ball St.,490
124,2025-01-04,Baylor,330,Iowa St.,-430,Baylor,330
125,2025-01-04,Bellarmine,146,Central Ark.,-180,Bellarmine,146
126,2025-01-04,UMBC,-130,Binghamton,106,UMBC,-130
127,2025-01-04,Maine,136,Bryant,-168,Bryant,-168
128,2025-01-04,Butler,520,St. John's (NY),-750,Butler,520
129,2025-01-04,Towson,245,Col. of Charleston,-320,Towson,245
130,2025-01-04,Charlotte,146,Rice,-178,Rice,-178
131,2025-01-04,ULM,235,Coastal Carolina,-300,ULM,235
132,2025-01-04,Duquesne,190,Davidson,-240,Davidson,-240
133,2025-01-04,Drexel,-188,N.C. A&T,152,N.C. A&T,152
134,2025-01-04,NIU,245,Eastern Mich.,-320,Eastern Mich.,-320
135,2025-01-04,Indiana St.,-150,Evansville,122,Evansville,122
136,2025-01-04,Western Ky.,-265,,210,Western Ky.,-265
137,2025-01-04,St. Bonaventure,-300,Fordham,235,St. Bonaventure,-300
138,2025-01-04,Presbyterian,138,Gardner-Webb,-170,Gardner-Webb,-170
139,2025-01-04,George Mason,-110,Rhode Island,-110,Rhode Island,-110
140,2025-01-04,High Point,-148,UNC Asheville,120,UNC Asheville,120
141,2025-01-04,Lipscomb,-260,North Florida,205,Lipscomb,-260
142,2025-01-04,VCU,-230,Loyola Chicago,188,VCU,-230
143,2025-01-04,Miami (FL),-114,Virginia Tech,-105,Miami (FL),-114
144,2025-01-04,South Carolina,430,Mississippi St.,-600,South Carolina,430
145,2025-01-04,UCLA,100,Nebraska,-120,UCLA,100
146,2025-01-04,St. Thomas (MN),-260,North Dakota,205,St. Thomas (MN),-260
147,2025-01-04,Omaha,490,North Dakota St.,-750,North Dakota St.,-750
148,2025-01-04,Stetson,148,West Ga.,-184,West Ga.,-184
149,2025-01-04,Tulsa,610,UAB,-950,Tulsa,610
150,2025-01-04,Duke,-365,SMU,285,SMU,285
151,2025-01-04,Arizona,130,Cincinnati,-156,Cincinnati,-156
152,2025-01-04,Jackson St.,-105,Alcorn,-115,Alcorn,-115
153,2025-01-04,IU Indy,470,Cleveland St.,-700,IU Indy,470
154,2025-01-04,South Alabama,-250,Ga. Southern,198,Ga. Southern,198
155,2025-01-04,Robert Morris,172,Oakland,-215,Oakland,-215
156,2025-01-04,Samford,-900,Western Caro.,570,Samford,-900
157,2025-01-04,Austin Peay,180,Jacksonville,-220,Austin Peay,180
158,2025-01-04,McNeese,-2200,East Texas A&M,980,McNeese,-2200
159,2025-01-04,Abilene Christian,310,Utah Valley,-420,Abilene Christian,310
160,2025-01-04,,2200,Alabama St.,-10000,Alabama St.,-10000
161,2025-01-04,UMass Lowell,-172,UAlbany,140,UMass Lowell,-172
162,2025-01-04,Arkansas St.,-128,James Madison,104,James Madison,104
163,2025-01-04,Missouri,1200,Auburn,-3500,Missouri,1200
164,2025-01-04,San Diego St.,146,Boise St.,-176,Boise St.,-176
165,2025-01-04,Monmouth,210,Delaware,-265,Delaware,-265
166,2025-01-04,Wofford,158,,-196,,-196
