,Team,Conference,Off-FT,Off-FT.Rank,Off-2P,Off-2P.Rank,Off-3P,Off-3P.Rank,Def-FT,Def-FT.Rank,Def-2P,Def-2P.Rank,Def-3P,Def-3P.Rank
0,Cal St. Fullerton,BW,26.9,1,50.7,136,22.3,354,21.3,61,45.4,314,33.4,110
1,Charlotte,Amer,25.7,2,46.1,286,28.2,270,18.4,219,56.3,9,25.3,347
2,Tarleton St.,WAC,25.2,3,53.2,73,21.6,358,25.1,7,42.7,351,32.1,144
3,Longwood,BSth,24.9,4,49.7,164,25.4,325,20.6,89,51.3,113,28.1,304
4,Grand Canyon,WAC,24.5,5,50.5,144,25.0,333,20.0,120,54.3,36,25.8,342
5,UC Davis,BW,24.5,6,48.2,215,27.3,291,24.4,12,45.6,311,30.0,239
6,South Dakota,Sum,24.5,7,50.2,148,25.3,326,17.7,266,49.3,190,32.9,118
7,Winthrop,BSth,24.5,8,50.5,141,25.0,332,21.1,67,48.0,246,31.0,200
8,Temple,Amer,24.4,9,49.3,177,26.3,309,19.8,132,50.1,161,30.1,231
9,Oklahoma St.,B12,24.3,10,48.3,210,27.4,289,19.4,153,46.3,293,34.3,85
10,Missouri,SEC,23.9,11,43.5,337,32.6,156,19.7,134,48.2,241,32.0,149
11,Elon,CAA,23.9,12,46.4,280,29.8,229,15.8,332,46.7,286,37.5,23
12,Michigan St.,B10,23.8,13,55.1,35,21.1,360,20.0,121,49.3,195,30.7,215
13,Rice,Amer,23.7,14,44.5,324,31.9,179,21.3,60,48.4,233,30.3,224
14,Charleston Southern,BSth,23.4,15,46.1,285,30.5,207,17.9,245,59.7,3,22.4,363
15,Radford,BSth,23.4,16,46.4,282,30.3,212,21.9,41,43.6,341,34.5,77
16,California,ACC,23.3,17,47.7,235,29.1,246,17.8,256,54.6,28,27.7,314
17,Ball St.,MAC,23.2,18,47.8,227,29.0,252,18.4,220,51.9,87,29.7,257
18,Valparaiso,MVC,23.1,19,47.7,233,29.1,243,19.6,140,52.2,76,28.2,300
19,UC Irvine,BW,23.0,20,49.5,170,27.5,286,14.3,354,50.4,148,35.3,55
20,Jackson St.,SWAC,22.9,21,47.8,228,29.3,239,18.3,223,45.8,306,35.9,40
21,Monmouth,CAA,22.9,22,48.0,221,29.2,241,21.4,54,47.2,274,31.5,178
22,South Carolina,SEC,22.8,23,47.3,249,29.9,227,17.4,279,54.7,24,27.9,307
23,Abilene Christian,WAC,22.8,24,58.3,10,18.8,362,25.9,2,48.4,234,25.7,344
24,Seattle,WAC,22.8,25,46.4,281,30.9,193,17.6,271,50.9,128,31.4,180
25,VMI,SC,22.8,26,42.1,351,35.1,88,14.3,356,44.2,334,41.5,3
26,Coppin St.,MEAC,22.7,27,53.7,62,23.6,345,18.8,195,48.7,220,32.5,132
27,Hawaii,BW,22.7,28,50.6,138,26.7,299,20.5,94,52.7,59,26.8,332
28,Kennesaw St.,CUSA,22.5,29,47.2,250,30.3,211,22.5,31,48.0,245,29.5,271
29,Texas A&M,SEC,22.4,30,49.5,171,28.1,273,21.6,47,40.7,360,37.8,20
30,Murray St.,MVC,22.4,31,47.0,256,30.6,203,20.1,110,55.6,17,24.2,357
31,Rhode Island,A10,22.4,32,50.1,153,27.6,285,18.3,224,54.1,38,27.6,315
