,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
0,2024-11-04,IU Columbus,44,IU Indy,100,IU Indy,107.02734375,-56,55.02734375
1,2024-11-04,Oglethorpe,51,Middle Tenn.,97,Middle Tenn.,132.1357421875,-46,90.1357421875
2,2024-11-04,UNT Dallas,55,UT Arlington,90,UT Arlington,113.564453125,-35,82.564453125
3,2024-11-04,Col. of Charleston,90,Southern Ill.,80,Southern Ill.,117.078125,10,151.078125
4,2024-11-04,LaGrange,48,Jacksonville St.,112,Jacksonville St.,131.27734375,-64,71.27734375
5,2024-11-04,Saint Louis,78,Santa Clara,85,Santa Clara,138.484375,-7,135.484375
6,2024-11-04,Denver,62,Stanford,85,Stanford,137.7021484375,-23,118.7021484375
7,2024-11-04,Penn St.-York,66,UMBC,95,UMBC,100.0146484375,-29,75.0146484375
8,2024-11-04,Framingham St.,62,Stonehill,81,Stonehill,103.0,-19,88.0
9,2024-11-04,Erskine,58,Wofford,112,Wofford,114.7421875,-54,64.7421875
10,2024-11-04,Valparaiso,63,Liberty,83,Liberty,132.5625,-20,116.5625
11,2024-11-04,Old Westbury,62,Hofstra,89,Hofstra,114.7421875,-27,91.7421875
12,2024-11-04,Marist,66,Harvard,79,Harvard,103.296875,-13,94.296875
13,2024-11-04,Sacred Heart,70,Temple,81,Temple,127.4609375,-11,120.4609375
14,2024-11-04,McNeese,73,South Dakota St.,80,South Dakota St.,128.75,-7,125.75
15,2024-11-04,Georgian Court,43,Drexel,95,Drexel,118.287109375,-52,70.287109375
16,2024-11-04,A&M-Corpus Christi,73,Purdue,90,Purdue,156.03125,-17,143.03125
17,2024-11-04,Washington Col.,54,VMI,103,VMI,106.9140625,-49,61.9140625
18,2024-11-04,Rivier,59,UMass Lowell,115,UMass Lowell,118.75,-56,66.75
19,2024-11-04,Houghton,65,Niagara,100,Niagara,108.11328125,-35,77.11328125
20,2024-11-04,Piedmont,65,Winthrop,125,Winthrop,119.0,-60,63.0
21,2024-11-04,Miami (OH),77,App State,63,App State,124.390625,14,162.390625
22,2024-11-04,Fordham,60,St. John's (NY),92,St. John's (NY),151.55859375,-32,123.55859375
23,2024-11-04,Bucknell,85,Delaware,73,Delaware,112.5,12,148.5
24,2024-11-04,Missouri St.,65,Butler,72,Butler,127.259765625,-7,124.259765625
25,2024-11-04,Trinity Baptist,65,Jacksonville,78,Jacksonville,119.37890625,-13,110.37890625
26,2024-11-04,Wright St.,62,Kentucky,103,Kentucky,159.0,-41,122.0
