year,team,conference,conf_w,conf_l,conf_pct,w,l,pct,streak,rpi,vs_1_to_50,vs_51_to_100,vs_101_to_150,vs_150_PLUS
2018,Vermont,"America East",15,1,1,27,7,1,"Lost 1",60,0-2,0-3,7-1,19-1
2018,Hartford,"America East",11,5,1,19,13,1,"Lost 1",198,0-0,1-3,1-5,16-5
2018,"Stony Brook","America East",7,9,0,13,19,0,"Lost 1",208,0-2,0-5,2-6,10-6
2018,"New Hampshire","America East",6,10,0,10,21,0,"Lost 6",312,0-2,0-3,1-3,7-13
2018,Binghamton,"America East",2,14,0,11,20,0,"Lost 4",320,0-0,0-3,1-3,8-14
2018,UMBC,"America East",12,4,1,24,10,1,"Won 5",112,0-1,1-3,3-2,17-4
2018,Albany,"America East",10,6,1,22,10,1,"Lost 1",142,0-1,0-2,3-2,18-5
2018,"Massachusetts Lowell","America East",6,10,0,12,18,0,"Lost 1",290,0-0,0-2,0-7,11-9
2018,Maine,"America East",3,13,0,6,26,0,"Lost 7",338,0-1,0-4,0-5,4-16
2018,Cincinnati,"American Athletic Conference",16,2,1,29,4,1,"Won 6",7,4-4,7-0,8-0,10-0
2018,"Wichita State","American Athletic Conference",14,4,1,25,7,1,"Lost 1",12,3-4,10-2,4-1,8-0
2018,Memphis,"American Athletic Conference",10,8,1,21,13,1,"Lost 1",107,1-6,3-4,5-0,12-3
2018,Temple,"American Athletic Conference",8,10,0,17,15,1,"Lost 1",51,3-7,4-3,5-2,5-3
2018,SMU,"American Athletic Conference",6,12,0,17,16,1,"Lost 1",110,4-8,1-3,2-3,10-2
2018,"East Carolina","American Athletic Conference",4,14,0,10,20,0,"Lost 6",274,0-4,0-5,1-6,9-5
2018,Houston,"American Athletic Conference",14,4,1,26,6,1,"Won 5",17,5-2,5-1,4-1,12-2
2018,Tulsa,"American Athletic Conference",12,6,1,19,12,1,"Lost 1",88,0-4,3-4,4-3,12-1
2018,UCF,"American Athletic Conference",9,9,1,19,13,1,"Lost 1",83,1-8,3-3,5-2,11-0
2018,Connecticut,"American Athletic Conference",7,11,0,14,18,0,"Lost 2",120,0-11,3-4,1-3,10-0
2018,Tulane,"American Athletic Conference",5,13,0,14,17,0,"Lost 3",175,1-4,1-6,3-5,10-2
2018,"South Florida","American Athletic Conference",3,15,0,10,22,0,"Lost 1",277,0-4,0-5,2-6,8-7
2018,"Rhode Island","Atlantic 10",15,3,1,25,7,1,"Lost 1",14,3-4,2-1,8-1,12-0
2018,Davidson,"Atlantic 10",13,5,1,21,11,1,"Won 4",59,3-6,0-0,4-1,13-4
