year,team
2021,"Abilene Christian"
2021,Alabama
2021,"App State"
2021,Arkansas
2021,Baylor
2021,BYU
2021,Clemson
2021,"Cleveland St."
2021,Colgate
2021,Colorado
2021,Creighton
2021,Drake
2021,Drexel
2021,"Eastern Wash."
2021,Florida
2021,"Florida St."
2021,Georgetown
2021,"Georgia Tech"
2021,Gonzaga
2021,"Grand Canyon"
2021,Hartford
2021,Houston
2021,Illinois
2021,Iona
2021,Iowa
2021,Kansas
2021,Liberty
2021,"Loyola Chicago"
2021,LSU
2021,Maryland
2021,Michigan
2021,"Michigan St."
2021,Missouri
2021,"Morehead St."
2021,"Mount St. Mary's"
2021,MSM/TXSO
2021,MSU/UCLA
2021,"Norfolk St."
2021,"North Carolina"
2021,"North Texas"
2021,NSU/APPST
2021,Ohio
2021,"Ohio St."
2021,Oklahoma
2021,"Oklahoma St."
2021,"Oral Roberts"
2021,Oregon
2021,"Oregon St."
2021,Purdue
2021,Rutgers
2021,"San Diego St."
2021,"Southern California"
2021,"St. Bonaventure"
2021,Syracuse
2021,Tennessee
2021,Texas
2021,"Texas Southern"
2021,"Texas Tech"
2021,"UC Santa Barbara"
2021,UCLA
2021,UConn
2021,"UNC Greensboro"
2021,"Utah St."
2021,VCU
2021,Villanova
2021,Virginia
2021,"Virginia Tech"
2021,"West Virginia"
2021,"Wichita St."
2021,Winthrop
2021,Wisconsin
2021,WSU/DRAKE
