year,team1,team1_score,team2,team2_score
2023,Brescia,52,"Middle Tenn.",79
2023,"Mississippi Val.",53,Baylor,117
2023,"Kansas Christian",79,"Prairie View",94
2023,Pacific,78,Stanford,88
2023,"Valley Forge",38,"James Madison",123
2023,Harvard,68,Morehouse,63
2023,"JWU (Charlotte)",60,"UNC Greensboro",93
2023,Defiance,27,Oakland,92
2023,Fisher,43,"UMass Lowell",108
2023,"Coppin St.",59,Charlotte,82
2023,MSOE,46,Milwaukee,102
2023,"Warren Wilson",74,"App State",142
2023,Howard,63,Kentucky,95
2023,"La Salle",68,Villanova,81
2023,"Purdue Fort Wayne",56,Michigan,75
2023,"New Orleans",53,Butler,89
2023,Merrimack,72,"St. John's (NY)",97
2023,"The Citadel",69,Clemson,80
2023,"Edward Waters",61,"N.C. A&T",100
2023,Columbia,35,Rutgers,75
2023,Wagner,76,Temple,73
2023,"Mount St. Mary's",58,"West Virginia",76
2023,Winthrop,68,"Penn St.",93
2023,"Notre Dame (OH)",72,"Cleveland St.",68
2023,VMI,48,Richmond,69
2023,"Morehead St.",53,Indiana,88
2023,Chaminade,55,Cincinnati,98
2023,"Robert Morris",53,"Ohio St.",91
2023,Niagara,49,Maryland,71
2023,Brown,65,Vermont,80
2023,"North Greenville",55,Furman,91
2023,CarolinaU,42,Presbyterian,76
2023,"Northern Ariz.",55,"Michigan St.",73
2023,"Green Bay",53,"Indiana St.",80
2023,"Lebanon Valley",52,Bucknell,113
2023,Valparaiso,70,Toledo,85
2023,Erskine,55,Elon,80
2023,Penn,50,Iona,78
2023,Regent,38,Liberty,104
2023,Guilford,64,Davidson,87
2023,Quinnipiac,67,"Rhode Island",62
2023,"Emory & Henry",66,ETSU,88
2023,"Mt. St. Mary (NY)",56,"St. Francis Brooklyn",94
2023,"Toccoa Falls",52,"Charleston So.",83
2023,Colgate,87,Buffalo,88
2023,"St. Mary's (MD)",43,"Coastal Carolina",97
2023,"Kent St.",79,"Northern Ky.",57
2023,Marshall,82,"Queens (NC)",83
2023,"South Dakota St.",80,Akron,81
2023,UMES,65,"Old Dominion",84
2023,Lindenwood,46,Dayton,73
2023,Stetson,83,"Florida St.",74
2023,"Wilmington (DE)",54,Delaware,78
2023,NJIT,59,"Saint Peter's",73
2023,Manhattan,56,VCU,73
2023,Montevallo,67,Troy,87
2023,"Houston Christian",66,FIU,77
2023,"Tarleton St.",59,"Arizona St.",62
2023,LaGrange,56,"Kennesaw St.",99
2023,Siena,75,"Holy Cross",68
2023,"Tennessee Tech",43,Tennessee,75
2023,Earlham,39,"Ball St.",109
2023,UAlbany,62,Towson,67
2023,"Bob Jones",48,Wofford,120
2023,"Saint Francis (PA)",58,"St. Bonaventure",71
2023,Lynn,46,"Fla. Atlantic",81
2023,"UT Martin",58,Pittsburgh,80
2023,Jacksonville,44,Duke,71
2023,"Thomas (ME)",39,Bryant,147
2023,"Virginia St.",58,"George Washington",85
2023,"Air Force",58,"Bowling Green",62
2023,Bethune-Cookman,58,Iowa,89
2023,Idaho,63,Denver,68
2023,Lafayette,54,"Miami (FL)",67
2023,Brevard,42,"USC Upstate",90
2023,Hofstra,83,Princeton,77
2023,Navy,74,"William & Mary",59
2023,"Central Conn. St.",67,Massachusetts,94
2023,"Sarah Lawrence",41,Yale,96
2023,Northeastern,63,"Boston U.",72
2023,Keystone,65,"Army West Point",110
2023,Miami-Middletown,52,"Eastern Ky.",137
2023,Chattanooga,78,"Col. of Charleston",85
2023,"Morgan St.",73,Xavier,96
2023,Cazenovia,56,Binghamton,87
2023,Dartmouth,74,Fordham,88
2023,"Alabama St.",70,UAB,111
2023,Stonehill,54,UConn,85
2023,Brandeis,47,"New Hampshire",79
2023,Ohio,69,Belmont,70
2023,"Wayne St. (MI)",66,"Eastern Mich.",75
2023,"Texas St.",61,"Washington St.",83
2023,"A&M-Corpus Christi",44,"Mississippi St.",63
2023,"Clayton St.",63,"Georgia Tech",93
2023,"Youngstown St.",92,Canisius,81
2023,Virginia-Lynchburg,59,"Norfolk St.",109
2023,"Loyola Maryland",66,DePaul,72
2023,"Jackson St.",56,"Abilene Christian",65
2023,"St. Thomas (TX)",61,"Lamar University",63
2023,"Ark.-Pine Bluff",72,TCU,73
2023,"William Carey",42,"Southern Miss.",75
2023,Maine,66,Nebraska,79
2023,"Central Ark.",55,"Wichita St.",79
2023,Wis.-Parkside,59,Bradley,93
2023,"Chicago St.",54,Northwestern,85
2023,"Murray St.",68,"Saint Louis",91
2023,Pfeiffer,71,"High Point",109
2023,"Champion Chris.",54,McNeese,110
2023,"Southeast Mo. St.",64,"South Fla.",61
2023,"Coastal Ga.",59,"Georgia St.",76
2023,Lehigh,72,Syracuse,90
2023,"Saint Augustine's",62,Campbell,79
2023,Fairfield,59,"Wake Forest",71
2023,Cornell,77,"Boston College",79
2023,"Trinity Christian",48,UIC,82
2023,"UNC Asheville",98,UCF,95
2023,"UNT Dallas",57,Grambling,82
2023,"Centenary (LA)",55,Louisiana,106
2023,FDU,82,"Loyola Chicago",88
2023,Harris-Stowe,57,SIUE,85
2023,Harding,55,"Arkansas St.",86
2023,"Western Caro.",55,Georgia,68
2023,"Stony Brook",45,Florida,81
2023,"George Mason",52,Auburn,70
2023,Memphis,76,Vanderbilt,67
2023,"Western Ill.",71,"Illinois St.",68
2023,"Trinity (TX)",47,UTSA,74
2023,"Southern Ind.",91,Missouri,97
2023,"Lincoln (MO)",59,"Kansas City",56
2023,"Austin Peay",50,"NC State",99
2023,ULM,54,"Texas A&M",87
2023,"Little Rock",63,"Southern Ill.",94
2023,IUPUI,39,"Iowa St.",88
2023,"North Dakota St.",58,Arkansas,76
2023,"Anderson (SC)",85,Samford,109
2023,"Ill. Springfield",83,NIU,77
2023,Omaha,64,Kansas,89
2023,"Southern Nazarene",47,"North Texas",53
2023,"Northern Colo.",36,Houston,83
2023,"Sam Houston",52,Oklahoma,51
2023,"St. Thomas (MN)",60,Creighton,72
2023,"North Dakota",65,UIW,57
2023,"Loyola (LA)",72,"Southeastern La.",90
2023,UMBC,67,Tulane,89
2023,"South Dakota",59,Wisconsin,85
2023,Evansville,78,"Miami (OH)",74
2023,Radford,69,Marquette,79
2023,"Tex. A&M-Commerce",60,SMU,77
2023,Wartburg,49,UNI,105
2023,"UC Riverside",66,Colorado,82
2023,Longwood,54,Alabama,75
2023,Oakwood,51,"North Ala.",108
2023,"Mississippi Col.",61,"Louisiana Tech",78
2023,Fisk,75,"Tennessee St.",85
2023,"Delaware St.",57,"Virginia Tech",95
2023,UNCW,56,"North Carolina",69
2023,"N.C. Central",61,Virginia,73
2023,"Northwestern St.",49,"Texas Tech",73
2023,UTRGV,59,"Kansas St.",93
2023,"Montana St.",54,"Grand Canyon",60
2023,"Southern Utah",81,"New Mexico",89
2023,Gardner-Webb,63,"Colorado St.",65
2023,Alcorn,58,"Ole Miss",73
2023,"Idaho St.",56,BYU,60
2023,UTEP,57,Texas,72
2023,LeTourneau,40,SFA,93
2023,"Eastern Ill.",57,Illinois,87
2023,"Utah Valley",58,"Utah St.",75
2023,"North Florida",63,Gonzaga,104
2023,"Western Mich.",60,Minnesota,61
2023,"UT Arlington",66,"Oklahoma St.",77
2023,"N.M. Highlands",52,"New Mexico St.",101
2023,Shorter,48,"Jacksonville St.",111
2023,"Colo. Christian",69,Wyoming,102
2023,FGCU,74,"Southern California",61
2023,Nicholls,75,Arizona,117
2023,"Seattle U",85,"UC San Diego",71
2023,"Fresno Pacific",56,"Fresno St.",69
2023,"Long Beach St.",79,"California Baptist",64
2023,"San Diego Christian",35,"CSU Bakersfield",68
2023,"Bethesda (CA)",59,"Cal Poly",94
2023,"San Fran. St.",59,"UC Santa Barbara",75
2023,"LIFE Pacific",49,"LMU (CA)",99
2023,"Oral Roberts",70,"Saint Mary's (CA)",78
2023,"Eastern Wash.",72,"Santa Clara",84
