,year,team1,team1_score,team2,team2_score
0,2025,IU Columbus,44,IU Indy,100
1,2025,Oglethorpe,51,Middle Tenn.,97
2,2025,UNT Dallas,55,UT Arlington,90
3,2025,Col. of Charleston,90,Southern Ill.,80
4,2025,LaGrange,48,Jacksonville St.,112
5,2025,Saint Louis,78,Santa Clara,85
6,2025,Denver,62,Stanford,85
7,2025,Penn St.-York,66,UMBC,95
8,2025,Framingham St.,62,Stonehill,81
9,2025,Erskine,58,Wofford,112
10,2025,Valparaiso,63,Liberty,83
11,2025,Old Westbury,62,Hofstra,89
12,2025,Marist,66,Harvard,79
13,2025,Sacred Heart,70,Temple,81
14,2025,McNeese,73,South Dakota St.,80
15,2025,Georgian Court,43,Drexel,95
16,2025,A&M-Corpus Christi,73,Purdue,90
17,2025,Washington Col.,54,VMI,103
18,2025,Rivier,59,UMass Lowell,115
19,2025,Houghton,65,Niagara,100
20,2025,Piedmont,65,Winthrop,125
21,2025,Miami (OH),77,App State,63
22,2025,Fordham,60,St. John's (NY),92
23,2025,Bucknell,85,Delaware,73
24,2025,Missouri St.,65,Butler,72
25,2025,Trinity Baptist,65,Jacksonville,78
26,2025,Wright St.,62,Kentucky,103
27,2025,Cheyney,55,N.C. A&T,107
28,2025,Bellarmine,65,VCU,84
29,2025,Penn,58,NJIT,57
30,2025,Buffalo,83,Old Dominion,82
31,2025,Ohio,78,James Madison,88
32,2025,Lynchburg,39,Queens (NC),90
33,2025,Dickinson,36,William & Mary,84
34,2025,N.C. Central,58,George Mason,75
35,2025,American,52,La Salle,65
36,2025,William Peace,47,Davidson,88
37,2025,FDU,72,Miami (FL),113
38,2025,New College (FL),75,Stetson,94
39,2025,Le Moyne,82,Syracuse,86
40,2025,Toledo,74,Troy,84
41,2025,New Hampshire,74,Massachusetts,103
42,2025,Cleary,52,Detroit Mercy,91
43,2025,VTSU Lyndon,47,Dartmouth,129
44,2025,Defiance,52,Oakland,75
45,2025,Ark.-Pine Bluff,54,Cincinnati,109
46,2025,Davis & Elkins,57,Marshall,90
47,2025,Biblical Stud. (TX),90,Prairie View,111
48,2025,Marywood,52,Cornell,93
49,2025,Morris,55,South Carolina St.,137
50,2025,Newberry,51,ETSU,72
51,2025,Manhattan,49,Maryland,79
52,2025,Frostburg St.,76,Morgan St.,89
53,2025,Monmouth,57,Michigan St.,81
54,2025,Saint Francis,57,Dayton,87
55,2025,USC Upstate,66,NC State,97
56,2025,Navy,63,Saint Joseph's,70
57,2025,N.C. Wesleyan,70,East Carolina,97
58,2025,Morehead St.,45,Louisville,93
59,2025,Brown,71,Siena,72
60,2025,North Florida,74,South Carolina,71
61,2025,Texas A&M,61,UCF,64
62,2025,Columbia,81,Loyola Maryland,78
63,2025,Gardner-Webb,64,Tennessee,80
64,2025,Alice Lloyd,69,Eastern Ky.,98
65,2025,Hannibal-La Grange,68,Kansas City,91
66,2025,Ball St.,66,Georgia St.,71
67,2025,Bluffton,47,Purdue Fort Wayne,99
68,2025,Radford,56,Pittsburgh,96
69,2025,Iona,80,Princeton,81
70,2025,Lakeland,62,Milwaukee,118
71,2025,Maine,62,Duke,96
72,2025,CSUN,56,St. Bonaventure,70
73,2025,Mount Olive,91,UNCW,143
74,2025,Northern Ky.,62,Florida St.,74
75,2025,Columbia Int'l,46,Furman,104
76,2025,NIU,65,Ga. Southern,80
77,2025,Robert Morris,59,West Virginia,87
78,2025,Notre Dame (MD),62,Mount St. Mary's,98
79,2025,Mid-Atlantic Christ.,53,Hampton,110
80,2025,Charleston So.,64,Clemson,91
81,2025,FGCU,64,UNC Greensboro,73
82,2025,Western Mich.,56,Coastal Carolina,60
83,2025,Central Conn. St.,55,Providence,59
84,2025,Texas Southern,69,Xavier,78
85,2025,York (NE),41,Drake,93
86,2025,La. Christian,42,Tulane,76
87,2025,Randolph,68,Longwood,79
88,2025,LSU-Alexandria,50,Louisiana Tech,77
89,2025,Pfeiffer,49,Campbell,96
90,2025,Vermont,67,UAB,62
91,2025,Mississippi Col.,58,Samford,100
92,2025,Saint Peter's,53,Seton Hall,57
93,2025,Dallas Christian,55,Northwestern St.,96
94,2025,Tennessee Tech,78,Georgia,83
95,2025,Maryville (TN),70,Belmont,93
96,2025,Binghamton,66,Penn St.,108
97,2025,West Ga.,60,Mississippi St.,95
98,2025,Bob Jones,61,Western Caro.,100
99,2025,Northeastern,80,Boston U.,72
100,2025,Indiana St.,64,Fla. Atlantic,97
101,2025,Quinnipiac,62,Yale,88
102,2025,Lipscomb,77,Duquesne,72
103,2025,UAlbany,59,Army West Point,67
104,2025,Avila,59,Houston Christian,86
105,2025,Western Colo.,57,Utah Valley,92
106,2025,UTRGV,67,Nebraska,87
107,2025,Ark. Baptist,64,Little Rock,84
108,2025,Eastern Ill.,67,Illinois,112
109,2025,St. Francis (IL),43,UIC,91
110,2025,Mid-Amer. Christian,69,Omaha,85
111,2025,Trinity (TX),77,UTSA,103
112,2025,Presbyterian,79,Charlotte,88
113,2025,Park (AZ),49,Northern Ariz.,100
